cistron_id,num_tus,tu_ids,num_operons,operon_ids
EG10412_RNA,1,TU0-14[c],1,1084
EG10413_RNA,1,TU0-14036[c],1,1118
EG10414_RNA,1,TU0-14680[c],1,1453
EG10415_RNA,1,TU-8397[c],1,12
EG10416_RNA,1,TU00411[c],1,2432
EG10417_RNA,1,TU721[c],1,2512
EG10418_RNA,1,TU0-13714[c],1,840
EG10419_RNA,1,TU0-13805[c],1,915
EG10420_RNA,1,TU00205[c],1,2355
EG10421_RNA,1,TU00205[c],1,2355
EG10422_RNA,1,TU0-8807[c],1,2208
EG10423_RNA,1,TU00140[c],1,2318
EG10424_RNA,1,TU0-2603[c],1,1567
EG10425_RNA,1,TU0-13349[c],1,529
EG10426_RNA,1,TU0-8809[c],1,2210
EG10427_RNA,2,TU0-4201[c];TU0-4202[c],1,1624
EG10428_RNA,1,TU0-12908[c],1,165
EG10429_RNA,1,TU00283[c],1,2393
EG10430_RNA,1,TU00283[c],1,2393
EG10431_RNA,1,TU0-12951[c],1,198
EG10432_RNA,1,TU0-14805[c],1,1480
EG10433_RNA,1,TU00283[c],1,2393
EG10434_RNA,1,TU00283[c],1,2393
EG10435_RNA,5,TU0-14548[c];TU0-14561[c];TU0-14563[c];TU0-14759[c];TU00236[c],1,1424
EG10436_RNA,5,TU0-14548[c];TU0-14561[c];TU0-14563[c];TU0-14759[c];TU00236[c],1,1424
EG10437_RNA,5,TU0-14548[c];TU0-14561[c];TU0-14563[c];TU0-14759[c];TU00236[c],1,1424
EG10438_RNA,6,TU0-14548[c];TU0-14561[c];TU0-14563[c];TU0-14759[c];TU00236[c];yjeFE-amiB-mutL-miaA-hfq[c],1,1424
EG10439_RNA,2,TU0-12943[c];hha[c],1,192
EG10440_RNA,3,TU0-14257[c];TU0-6626[c];TU00174[c],1,1292
EG10441_RNA,2,TU0-45280[c];TU564[c],1,1737
EG10442_RNA,1,TU00284[c],1,2394
EG10443_RNA,1,TU00284[c],1,2394
EG10444_RNA,3,TU0-198747[c];TU0-6650[c];TU00285[c],1,1546
EG10445_RNA,3,TU0-198747[c];TU0-6650[c];TU00285[c],1,1546
EG10446_RNA,2,TU0-198747[c];TU00285[c],1,1546
EG10447_RNA,2,TU0-198747[c];TU00285[c],1,1546
EG10448_RNA,3,TU0-198747[c];TU0-6650[c];TU00285[c],1,1546
EG10449_RNA,2,TU0-198747[c];TU00285[c],1,1546
EG10450_RNA,3,TU0-198747[c];TU0-6650[c];TU00285[c],1,1546
EG10451_RNA,3,TU0-198747[c];TU0-6650[c];TU00285[c],1,1546
EG10452_RNA,2,TU0-14415[c];TU0-3581[c],1,1369
EG10453_RNA,1,TU0-6506[c],1,1804
EG10454_RNA,2,TU0-5182[c];TU0-5183[c],1,1762
EG10455_RNA,2,TU0-4146[c];TU0-8373[c],1,1615
EG10456_RNA,1,TU681[c],1,2508
EG10457_RNA,1,TU00139[c],1,2317
EG10458_RNA,2,TU0-14319[c];TU00286[c],1,1322
EG10459_RNA,1,TU0-14319[c],1,1322
EG10460_RNA,2,TU0-14319[c];TU00286[c],1,1322
EG10461_RNA,1,TU0-14784[c],1,1471
EG10462_RNA,1,TU00400[c],1,2428
EG10463_RNA,1,TU584[c],1,2502
EG10464_RNA,1,TU0-901[c],1,2254
EG10465_RNA,1,TU0-13839[c],1,946
EG10466_RNA,1,TU486[c],1,2494
EG10467_RNA,1,TU487[c],1,2495
EG10468_RNA,1,TU0-45171[c],1,1711
EG10469_RNA,1,TU0-45171[c],1,1711
EG10470_RNA,1,TU0-45171[c],1,1711
EG10471_RNA,1,TU0-45171[c],1,1711
EG10472_RNA,1,TU0-45171[c],1,1711
EG10473_RNA,1,TU0-45171[c],1,1711
EG10474_RNA,1,TU00153[c],1,2328
EG10475_RNA,1,TU00153[c],1,2328
EG10476_RNA,1,TU00153[c],1,2328
EG10477_RNA,1,TU00153[c],1,2328
EG10478_RNA,1,TU00153[c],1,2328
EG10479_RNA,1,TU00153[c],1,2328
EG10480_RNA,1,TU00153[c],1,2328
EG10481_RNA,1,TU00153[c],1,2328
EG10482_RNA,1,TU783[c],1,2516
EG10483_RNA,2,TU0-8344[c];TU00154[c],1,1919
EG10484_RNA,4,TU0-8344[c];TU0-8345[c];TU00154[c];TU00424[c],1,1919
EG10485_RNA,4,TU0-8344[c];TU0-8345[c];TU00154[c];TU00424[c],1,1919
EG10486_RNA,4,TU0-8344[c];TU0-8345[c];TU00154[c];TU00424[c],1,1919
EG10487_RNA,4,TU0-8344[c];TU0-8345[c];TU00154[c];TU00424[c],1,1919
EG10488_RNA,1,TU0-8811[c],1,2213
EG10489_RNA,1,TU00107[c],1,2299
EG10490_RNA,1,TU0-1341[c],1,584
EG10491_RNA,1,TU0-4288[c],1,1684
EG10492_RNA,2,TU0-14394[c];TU00291[c],1,1290
EG10493_RNA,3,TU0-6651[c];TU524[c];TU526[c],1,1653
EG10494_RNA,2,TU0-14764[c];TU00032[c],1,1466
EG10495_RNA,1,TU00090[c],1,2291
EG10496_RNA,2,TU524[c];TU526[c],1,1653
EG10497_RNA,2,TU524[c];TU526[c],1,1653
EG10499_RNA,1,TU0-6861[c],1,1834
EG10500_RNA,1,TU0-6861[c],1,1834
EG10501_RNA,1,TU524[c],1,1653
EG10502_RNA,2,TU0-14764[c];TU00032[c],1,1466
EG10503_RNA,1,TU0-45235[c],1,1724
EG10504_RNA,1,TU-8389[c],1,7
EG10505_RNA,3,TU0-44225[c];TU0-44226[c];TU00311[c],1,1701
EG10506_RNA,4,TU0-14257[c];TU0-3304[c];TU0-3305[c];TU00366[c],1,1292
EG10507_RNA,1,TU0-8837[c],1,2237
EG10508_RNA,1,TU00373[c],1,1397
EG10509_RNA,1,TU0-6507[c],1,1805
EG10510_RNA,2,TU0-14649[c];TU00309[c],1,1447
EG10511_RNA,1,TU00034[c],1,2268
EG10512_RNA,1,TU00225[c],1,2367
EG10513_RNA,1,TU00035[c],1,2269
EG10514_RNA,1,TU00035[c],1,2269
EG10515_RNA,1,TU00035[c],1,2269
EG10516_RNA,1,TU00292[c],1,2397
EG10517_RNA,1,TU00292[c],1,2397
EG10518_RNA,2,TU305[c];TU306[c],1,2487
EG10519_RNA,1,TU0-13088[c],1,314
