project,variant,label,lineage_seed,last_generation
gene_ko_441imported_2seeds,197,KO: G7501,100,8
gene_ko_441imported_2seeds,197,KO: G7501,101,8
gene_ko_441imported_2seeds,198,KO: EG10183,100,8
gene_ko_441imported_2seeds,198,KO: EG10183,101,8
gene_ko_441imported_2seeds,199,KO: EG10063,100,4
gene_ko_441imported_2seeds,199,KO: EG10063,101,5
gene_ko_441imported_2seeds,200,KO: EG10902,100,5
gene_ko_441imported_2seeds,200,KO: EG10902,101,5
gene_ko_441imported_2seeds,201,KO: EG10164,100,8
gene_ko_441imported_2seeds,201,KO: EG10164,101,8
gene_ko_441imported_2seeds,202,KO: EG11075,100,8
gene_ko_441imported_2seeds,202,KO: EG11075,101,8
gene_ko_441imported_2seeds,203,KO: EG11443,100,8
gene_ko_441imported_2seeds,203,KO: EG11443,101,8
gene_ko_441imported_2seeds,204,KO: EG10795,100,8
gene_ko_441imported_2seeds,204,KO: EG10795,101,8
gene_ko_441imported_2seeds,205,KO: EG10262,100,8
gene_ko_441imported_2seeds,205,KO: EG10262,101,8
gene_ko_441imported_2seeds,206,KO: EG10221,100,8
gene_ko_441imported_2seeds,206,KO: EG10221,101,8
gene_ko_441imported_2seeds,207,KO: EG12563,100,8
gene_ko_441imported_2seeds,207,KO: EG12563,101,8
gene_ko_441imported_2seeds,208,KO: EG10450,100,5
gene_ko_441imported_2seeds,208,KO: EG10450,101,5
gene_ko_441imported_2seeds,209,KO: EG10451,100,5
gene_ko_441imported_2seeds,209,KO: EG10451,101,5
gene_ko_441imported_2seeds,210,KO: EG10193,100,8
gene_ko_441imported_2seeds,210,KO: EG10193,101,8
gene_ko_441imported_2seeds,211,KO: EG11002,100,8
gene_ko_441imported_2seeds,211,KO: EG11002,101,8
gene_ko_441imported_2seeds,212,KO: EG10913,100,5
gene_ko_441imported_2seeds,212,KO: EG10913,101,6
gene_ko_441imported_2seeds,213,KO: EG10867,100,5
gene_ko_441imported_2seeds,213,KO: EG10867,101,5
gene_ko_441imported_2seeds,214,KO: EG12419,100,8
gene_ko_441imported_2seeds,214,KO: EG12419,101,8
gene_ko_441imported_2seeds,215,KO: G7565,100,8
gene_ko_441imported_2seeds,215,KO: G7565,101,8
gene_ko_441imported_2seeds,216,KO: G6199,100,8
gene_ko_441imported_2seeds,216,KO: G6199,101,8
gene_ko_441imported_2seeds,217,KO: EG11227,100,8
gene_ko_441imported_2seeds,217,KO: EG11227,101,8
gene_ko_441imported_2seeds,218,KO: EG10919,100,4
gene_ko_441imported_2seeds,218,KO: EG10919,101,4
gene_ko_441imported_2seeds,219,KO: G6627,100,8
gene_ko_441imported_2seeds,219,KO: G6627,101,8
gene_ko_441imported_2seeds,220,KO: EG10006,100,8
gene_ko_441imported_2seeds,220,KO: EG10006,101,8
gene_ko_441imported_2seeds,221,KO: EG10585,100,8
gene_ko_441imported_2seeds,221,KO: EG10585,101,8
gene_ko_441imported_2seeds,222,KO: EG10197,100,8
gene_ko_441imported_2seeds,222,KO: EG10197,101,8
gene_ko_441imported_2seeds,223,KO: G7911,100,8
gene_ko_441imported_2seeds,223,KO: G7911,101,8
gene_ko_441imported_2seeds,224,KO: G6800,100,8
gene_ko_441imported_2seeds,224,KO: G6800,101,8
gene_ko_441imported_2seeds,225,KO: EG10110,100,8
gene_ko_441imported_2seeds,225,KO: EG10110,101,8
gene_ko_441imported_2seeds,226,KO: EG10889,100,4
gene_ko_441imported_2seeds,226,KO: EG10889,101,5
gene_ko_441imported_2seeds,227,KO: EG11463,100,8
gene_ko_441imported_2seeds,227,KO: EG11463,101,8
gene_ko_441imported_2seeds,228,KO: EG12627,100,8
gene_ko_441imported_2seeds,228,KO: EG12627,101,8
gene_ko_441imported_2seeds,229,KO: EG10065,100,8
gene_ko_441imported_2seeds,229,KO: EG10065,101,8
gene_ko_441imported_2seeds,230,KO: EG10916,100,5
gene_ko_441imported_2seeds,230,KO: EG10916,101,5
gene_ko_441imported_2seeds,231,KO: EG12663,100,8
gene_ko_441imported_2seeds,231,KO: EG12663,101,8
gene_ko_441imported_2seeds,232,KO: G7647,100,8
gene_ko_441imported_2seeds,232,KO: G7647,101,8
gene_ko_441imported_2seeds,233,KO: EG11039,100,5
gene_ko_441imported_2seeds,233,KO: EG11039,101,6
gene_ko_441imported_2seeds,234,KO: EG11490,100,8
gene_ko_441imported_2seeds,234,KO: EG11490,101,8
gene_ko_441imported_2seeds,235,KO: EG11198,100,8
gene_ko_441imported_2seeds,235,KO: EG11198,101,8
gene_ko_441imported_2seeds,236,KO: EG10074,100,6
gene_ko_441imported_2seeds,236,KO: EG10074,101,6
gene_ko_441imported_2seeds,237,KO: EG10807,100,6
gene_ko_441imported_2seeds,237,KO: EG10807,101,8
gene_ko_441imported_2seeds,238,KO: EG10058,100,8
gene_ko_441imported_2seeds,238,KO: EG10058,101,8
gene_ko_441imported_2seeds,239,KO: EG10907,100,5
gene_ko_441imported_2seeds,239,KO: EG10907,101,6
gene_ko_441imported_2seeds,240,KO: EG10869,100,5
