config_group,original_variant,new_variant,lineage_seed,resume_generations,initial_state_file
resume_add_5_to8,178,155,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=178/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,178,155,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=178/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,218,185,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=218/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,218,185,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=218/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,17,15,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=17/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,17,15,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=17/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,5,4,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=5/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,5,4,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=5/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,203,173,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=203/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,203,173,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=203/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,200,170,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=200/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,200,170,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=200/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,40,34,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=40/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,40,34,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=40/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,135,116,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=135/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,135,116,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=135/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,287,236,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=287/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,287,236,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=287/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,147,127,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=147/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,147,127,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=147/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,72,60,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=72/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,72,60,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=72/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,285,234,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=285/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,285,234,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=285/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,284,233,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=284/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,284,233,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=284/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,274,224,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=274/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,274,224,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=274/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,82,70,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=82/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,82,70,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=82/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,78,66,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=78/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,78,66,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=78/seed=100/generation=3/agent_id=000/daughter_state_1.json
