label,project,tu_id,n_genes,n_matched_genes,growth_next_h,zero_growth,essentiality,match
KO: TU0-42499[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-42499,1,2,0.81308720603826,False,0,True
KO: TU0-42509[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-42509,2,4,0.80257362730164,False,0,True
KO: TU0-42568[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-42568,1,2,0.7992992021877,False,0,True
KO: TU0-42569[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-42569,1,2,0.7591795063403399,False,0,True
KO: TU0-42571[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-42571,1,2,0.83546959122414,False,0,True
KO: TU0-42602[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-42602,1,2,0.87221250306846,False,0,True
KO: TU0-42616[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-42616,1,2,0.82882394976258,False,0,True
KO: TU0-42684[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-42684,1,2,0.78493173891642,False,1,False
KO: TU0-4444[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-4444,2,2,0.78613169431176,False,0,True
KO: TU0-45147[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-45147,4,8,0.79978424761926,False,0,True
KO: TU0-45181[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-45181,1,2,0.8255177606538,False,0,True
KO: TU0-45222[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-45222,4,6,0.88729111421496,False,0,True
KO: TU0-45225[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-45225,4,8,0.8463249279059399,False,0,True
KO: TU0-45229[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-45229,1,2,0.8481389555817,False,0,True
KO: TU0-45231[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-45231,1,2,0.81469047528576,False,0,True
KO: TU0-45255[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-45255,1,2,0.79452612115776,False,0,True
KO: TU0-45265[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-45265,4,6,0.76229054356554,False,0,True
KO: TU0-45291[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-45291,2,4,0.79978424761926,False,0,True
KO: TU0-4562[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-4562,2,4,0.8121029661009,False,0,True
KO: TU0-4682[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-4682,4,4,0.8254435887379801,False,0,True
KO: TU0-4802[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-4802,2,2,0.8149834383019201,False,0,True
KO: TU0-4929[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-4929,1,2,0.78661003543146,False,0,True
KO: TU0-4961[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-4961,1,2,0.82049614868502,False,0,True
KO: TU0-5061[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-5061,1,2,0.0,True,1,True
KO: TU0-5162[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-5162,6,6,0.7902805494916801,False,0,True
KO: TU0-5186[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-5186,3,2,0.8636962004449199,False,0,True
KO: TU0-5402[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-5402,1,2,0.87759283627746,False,0,True
KO: TU0-5501[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-5501,1,2,0.0,True,1,True
KO: TU0-5561[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-5561,4,4,0.83109681097722,False,0,True
KO: TU0-5961[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-5961,1,2,0.8516333500551,False,0,True
KO: TU0-6408[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6408,1,2,0.8435126421612,False,0,True
KO: TU0-6409[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6409,1,2,0.0,True,1,True
KO: TU0-6422[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6422,1,2,0.82994952857796,False,0,True
KO: TU0-6425[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6425,1,2,0.78174326803284,False,0,True
KO: TU0-6441[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6441,1,2,0.0,True,1,True
KO: TU0-6481[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6481,1,2,0.0,True,1,True
KO: TU0-6482[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6482,1,2,0.0,True,0,False
KO: TU0-6485[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6485,1,2,0.85638550537008,False,0,True
KO: TU0-6501[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6501,1,2,0.0,True,1,True
KO: TU0-6506[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6506,1,2,0.0,True,1,True
KO: TU0-6512[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6512,6,12,0.79978424761926,False,1,False
KO: TU0-6562[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6562,1,2,0.0,True,1,True
KO: TU0-6569[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6569,1,2,0.78924479761188,False,0,True
KO: TU0-6623[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6623,2,4,0.8335210310551799,False,0,True
KO: TU0-6630[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6630,2,2,0.85152727841922,False,0,True
KO: TU0-6631[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6631,1,2,0.81416729195784,False,0,True
KO: TU0-6635[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6635,8,16,0.77740911727506,False,1,False
KO: TU0-6649[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6649,3,6,0.8168911597927799,False,0,True
KO: TU0-6652[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6652,1,2,0.80734805700534,False,0,True
KO: TU0-6884[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6884,1,2,0.82552610875266,False,1,False
KO: TU0-6886[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-6886,1,2,0.0,True,1,True
KO: TU0-7162[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-7162,7,12,0.82487716094628,False,0,True
KO: TU0-7163[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-7163,1,2,0.79539557753826,False,0,True
KO: TU0-7281[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-7281,4,2,0.0,True,0,False
KO: TU0-7341[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-7341,1,2,0.0,True,0,False
KO: TU0-7521[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-7521,1,2,0.80643698156988,False,0,True
KO: TU0-7861[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-7861,6,12,0.77710267379538,False,0,True
KO: TU0-7981[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-7981,2,4,0.7994039842438201,False,0,True
KO: TU0-8121[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8121,1,2,0.82949389786224,False,0,True
KO: TU0-8343[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8343,4,6,0.818768424609,False,0,True
KO: TU0-8346[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8346,4,6,0.8471841392350801,False,0,True
KO: TU0-8360[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8360,1,2,0.84013296487218,False,0,True
KO: TU0-8472[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8472,1,2,0.0,True,1,True
KO: TU0-8473[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8473,1,2,0.8410368541687201,False,0,True
KO: TU0-8492[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8492,1,2,0.0,True,1,True
KO: TU0-8493[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8493,1,2,0.0,True,1,True
KO: TU0-8574[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8574,1,2,0.7108717699179,False,0,True
KO: TU0-8610[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8610,1,2,0.81031612263732,False,0,True
KO: TU0-8726[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8726,1,2,0.8285978414631601,False,0,True
KO: TU0-8745[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8745,1,2,0.8341723792053,False,0,True
KO: TU0-8772[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8772,1,2,0.8573922842337001,False,0,True
KO: TU0-8773[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8773,1,2,0.84710016334926,False,0,True
KO: TU0-8793[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8793,1,2,0.8492746935501,False,0,True
KO: TU0-8806[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8806,1,2,0.83753285723496,False,0,True
KO: TU0-8818[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8818,1,2,0.86242140319104,False,0,True
KO: TU0-8862[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-8862,1,2,0.82855652941764,False,1,False
KO: TU0-901[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-901,1,2,0.8197802716451401,False,0,True
KO: TU00001[c],gene_knockout_TU_ID_rest_list_rerun2,TU00001,2,4,0.7984730132884801,False,0,True
KO: TU00003[c],gene_knockout_TU_ID_rest_list_rerun2,TU00003,1,2,0.80212466035476,False,0,True
KO: TU00004[c],gene_knockout_TU_ID_rest_list_rerun2,TU00004,2,4,0.1797008719337601,False,1,False
KO: TU00006[c],gene_knockout_TU_ID_rest_list_rerun2,TU00006,1,2,0.8145027202851001,False,0,True
KO: TU00008[c],gene_knockout_TU_ID_rest_list_rerun2,TU00008,2,4,0.0,True,1,True
KO: TU00009[c],gene_knockout_TU_ID_rest_list_rerun2,TU00009,1,2,0.86923557284616,False,0,True
KO: TU00012[c],gene_knockout_TU_ID_rest_list_rerun2,TU00012,1,2,0.82977521834034,False,0,True
KO: TU00013[c],gene_knockout_TU_ID_rest_list_rerun2,TU00013,1,2,0.8478625342347,False,0,True
KO: TU00017[c],gene_knockout_TU_ID_rest_list_rerun2,TU00017,1,2,0.8359412103046799,False,0,True
KO: TU00039[c],gene_knockout_TU_ID_rest_list_rerun2,TU00039,1,2,0.8104651707209399,False,0,True
KO: TU00046[c],gene_knockout_TU_ID_rest_list_rerun2,TU00046,3,6,0.84250569942972,False,0,True
