knocked_out_gene,project_name,ko_input,failed_before_8th_generation,essentiality_web_lab,match
EG10809,gene_knockout_TU_ID_rest_list_rerun,TU0-14472[c],False,True,False
EG11067,gene_knockout_TU_ID_rest_list_rerun,TU0-14474[c],False,True,False
G6879,gene_knockout_TU_ID_rest_list_rerun,TU0-14496[c],False,False,True
G6283,gene_knockout_TU_ID_rest_list_rerun,TU0-14506[c],False,False,True
EG11810,gene_knockout_TU_ID_rest_list_rerun,TU0-14509[c],False,False,True
EG10189,gene_knockout_TU_ID_rest_list_rerun,TU0-14511[c],False,True,False
EG10131,gene_knockout_TU_ID_rest_list_rerun,TU0-14513[c],False,False,True
EG10526,gene_knockout_TU_ID_rest_list_rerun,TU0-14521[c],False,False,True
G7542,gene_knockout_TU_ID_rest_list_rerun,TU0-14536[c],False,False,True
EG10220,gene_knockout_TU_ID_rest_list_rerun,TU0-14537[c],False,False,True
EG12437,gene_knockout_TU_ID_rest_list_rerun,TU0-14538[c],False,False,True
EG11957,gene_knockout_TU_ID_rest_list_rerun,TU0-14547[c],False,False,True
G7948,gene_knockout_TU_ID_rest_list_rerun,TU0-14571[c],False,False,True
EG11043,gene_knockout_TU_ID_rest_list_rerun,TU0-14629[c],False,True,False
EG10097,gene_knockout_TU_ID_rest_list_rerun,TU0-14634[c],True,True,True
EG12957,gene_knockout_TU_ID_rest_list_rerun,TU0-14640[c],False,False,True
EG10192,gene_knockout_TU_ID_rest_list_rerun,TU0-14642[c],False,False,True
EG10810,gene_knockout_TU_ID_rest_list_rerun,TU0-14654[c],True,True,True
EG10878,gene_knockout_TU_ID_rest_list_rerun,TU0-14658[c],True,True,True
EG10893,gene_knockout_TU_ID_rest_list_rerun,TU0-14658[c],True,True,True
EG10903,gene_knockout_TU_ID_rest_list_rerun,TU0-14658[c],True,False,False
EG10910,gene_knockout_TU_ID_rest_list_rerun,TU0-14658[c],True,True,True
EG10912,gene_knockout_TU_ID_rest_list_rerun,TU0-14658[c],True,True,True
EG10782,gene_knockout_TU_ID_rest_list_rerun,TU0-14693[c],False,False,True
EG11866,gene_knockout_TU_ID_rest_list_rerun,TU0-14787[c],False,False,True
G7486,gene_knockout_TU_ID_rest_list_rerun,TU0-14792[c],False,False,True
EG10148,gene_knockout_TU_ID_rest_list_rerun,TU0-1547[c],False,False,True
EG10637,gene_knockout_TU_ID_rest_list_rerun,TU0-1601[c],False,False,True
G7676,gene_knockout_TU_ID_rest_list_rerun,TU0-1601[c],False,False,True
G7677,gene_knockout_TU_ID_rest_list_rerun,TU0-1601[c],False,False,True
G7325,gene_knockout_TU_ID_rest_list_rerun,TU0-1881[c],False,False,True
G7544,gene_knockout_TU_ID_rest_list_rerun,TU0-1962[c],False,False,True
EG10262,gene_knockout_TU_ID_rest_list_rerun,TU0-198711[c],False,False,True
EG12625,gene_knockout_TU_ID_rest_list_rerun,TU0-198714[c],False,False,True
EG12627,gene_knockout_TU_ID_rest_list_rerun,TU0-198714[c],False,False,True
EG10772,gene_knockout_TU_ID_rest_list_rerun,TU0-198743[c],False,False,True
EG12088,gene_knockout_TU_ID_rest_list_rerun,TU0-198746[c],False,False,True
EG10444,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,False,False
EG10445,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,True,True
EG10446,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,True,True
EG10447,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,True,True
EG10448,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,False,False
EG10449,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,False,False
EG10450,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,False,False
EG10451,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,False,False
EG10744,gene_knockout_TU_ID_rest_list_rerun,TU0-198873[c],False,False,True
EG11318,gene_knockout_TU_ID_rest_list_rerun2,TU0-1[c],False,True,False
EG11621,gene_knockout_TU_ID_rest_list_rerun2,TU0-2302[c],False,False,True
G6261,gene_knockout_TU_ID_rest_list_rerun2,TU0-3123[c],False,False,True
EG10070,gene_knockout_TU_ID_rest_list_rerun2,TU0-3501[c],False,False,True
EG10072,gene_knockout_TU_ID_rest_list_rerun2,TU0-3581[c],False,False,True
