knocked_out_gene,project_name,ko_input,failed_before_8th_generation,essentiality_web_lab,match,gene_symbol,mygene_found,mygene_name,entrezgene,n_go_terms,go_terms
EG10808,gene_knockout_3_round_test,EG10808,True,False,False,pyrE,True,orotate phosphoribosyltransferase,948157,9,'de novo' UMP biosynthetic process; 'de novo' pyrimidine nucleobase biosynthetic process; cytoplasm; cytosol; magnesium ion binding; orotate phosphoribosyltransferase activity; protein homodimerization activity; pyrimidine nucleotide biosynthetic process; pyrimidine ribonucleoside biosynthetic process
EG10809,gene_knockout_TU_ID_rest_list_rerun,TU0-14472[c],False,True,False,pyrF,True,orotidine-5'-phosphate decarboxylase,947121,8,'de novo' UMP biosynthetic process; 'de novo' pyrimidine nucleobase biosynthetic process; carboxy-lyase activity; cytoplasm; cytosol; nucleobase-containing small molecule interconversion; orotidine-5'-phosphate decarboxylase activity; protein binding
EG10811,gene_knockout_TU_ID_rest_list_rerun2,TU00484[c],True,False,False,pyrI,True,"aspartate carbamoyltransferase, PyrI subunit",948763,6,'de novo' pyrimidine nucleobase biosynthetic process; aspartate carbamoyltransferase complex; cytoplasm; protein binding; pyrimidine nucleotide biosynthetic process; zinc ion binding
EG10870,gene_knockout_p_list,EG10870,True,False,False,rplI,True,50S ribosomal subunit protein L9,948720,10,cytoplasm; cytoplasmic translation; cytosol; cytosolic large ribosomal subunit; large ribosomal subunit rRNA binding; protein binding; rRNA binding; ribosome; structural constituent of ribosome; translation
EG10871,gene_knockout_TU_ID_rest_list_rerun2,TU0-6512[c],False,True,False,rplJ,True,50S ribosomal subunit protein L10,948490,12,GTPase activity; cytoplasm; cytoplasmic translation; cytosol; cytosolic large ribosomal subunit; large ribosomal subunit; large ribosomal subunit rRNA binding; negative regulation of translation; protein binding; ribosome binding; structural constituent of ribosome; translation
EG10873,gene_knockout_TU_ID_rest_list_rerun2,TU0-6512[c],False,True,False,rplL,True,50S ribosomal subunit protein L12,948489,13,GTPase activity; cytoplasm; cytoplasmic translation; cytosol; cytosolic large ribosomal subunit; large ribosomal subunit; mRNA binding; protein binding; protein homodimerization activity; ribosome; ribosome binding; structural constituent of ribosome; translation
EG10887,gene_knockout_p_list,EG10887,True,False,False,rpmC,True,50S ribosomal subunit protein L29,947807,7,cytoplasm; cytoplasmic translation; cytosolic large ribosomal subunit; ribosomal large subunit assembly; ribosome; structural constituent of ribosome; translation
EG10889,gene_knockout_p_list,EG10889,True,False,False,rpmE,True,50S ribosomal subunit protein L31,948425,10,cytoplasm; cytoplasmic translation; cytosol; cytosolic large ribosomal subunit; negative regulation of cytoplasmic translational initiation; ribosome; structural constituent of ribosome; translation; translational initiation; zinc ion binding
EG10890,gene_knockout_p_list,EG10890,True,False,False,rpmF,True,50S ribosomal subunit protein L32,945657,11,cytoplasm; cytoplasmic translation; cytosol; cytosolic large ribosomal subunit; large ribosomal subunit; protein binding; response to radiation; response to reactive oxygen species; ribosomal large subunit assembly; structural constituent of ribosome; translation
EG10891,gene_knockout_p_list,EG10891,True,False,False,rpmG,True,50S ribosomal subunit protein L33,946318,9,cytoplasm; cytoplasmic translation; cytosol; cytosolic large ribosomal subunit; response to antibiotic; ribosomal large subunit assembly; ribosome; structural constituent of ribosome; translation
EG10903,gene_knockout_TU_ID_rest_list_rerun,TU0-14658[c],True,False,False,rpsD,True,30S ribosomal subunit protein S4,947793,17,RNA binding; cytoplasm; cytoplasmic translation; cytosol; cytosolic small ribosomal subunit; mRNA 5'-UTR binding; mRNA regulatory element binding translation repressor activity; maintenance of translational fidelity; negative regulation of translational initiation; protein binding; rRNA binding; ribosomal small subunit assembly; ribosomal small subunit biogenesis; small ribosomal subunit; structural constituent of ribosome; transcription antitermination; translation
EG10908,gene_knockout_p_list,EG10908,True,False,False,rpsI,True,30S ribosomal subunit protein S9,949000,9,RNA binding; cytoplasm; cytoplasmic translation; cytosol; cytosolic small ribosomal subunit; ribosome; small ribosomal subunit; structural constituent of ribosome; translation
EG10915,gene_knockout_p_list,EG10915,True,False,False,rpsP,True,30S ribosomal subunit protein S16,947103,10,DNA endonuclease activity; cytoplasm; cytoplasmic translation; cytosolic small ribosomal subunit; four-way junction DNA binding; ribosomal small subunit assembly; ribosome; small ribosomal subunit; structural constituent of ribosome; translation
EG10946,gene_knockout_TU_ID_rest_list_rerun2,TU0-42569[c],False,True,False,serC,True,phosphoserine/phosphohydroxythreonine aminotransferase,945527,11,L-lysine biosynthetic process; L-serine biosynthetic process; L-serine metabolic process; O-phospho-L-serine:2-oxoglutarate transaminase activity; cytoplasm; cytosol; protein binding; protein homodimerization activity; pyridoxal 5'-phosphate biosynthetic process; pyridoxal phosphate binding; pyridoxine biosynthetic process
EG10980,gene_knockout_TU_ID_rest_list_rerun2,TU0-42509[c],False,True,False,sucB,True,2-oxoglutarate dehydrogenase E2 subunit,945307,8,acyltransferase activity; cytoplasm; cytosol; dihydrolipoyllysine-residue succinyltransferase activity; lipoic acid binding; oxoglutarate dehydrogenase complex; protein binding; tricarboxylic acid cycle
EG11024,gene_knockout_p_list,EG11024,True,False,False,trpA,True,tryptophan synthase subunit alpha,946204,8,L-tryptophan biosynthetic process; L-tryptophan metabolic process; aromatic amino acid family biosynthetic process; cytoplasm; cytosol; lyase activity; molecular adaptor activity; tryptophan synthase activity
EG11026,gene_knockout_p_list,EG11026,True,False,False,trpC,True,fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase,945519,4,L-tryptophan biosynthetic process; L-tryptophan metabolic process; indole-3-glycerol-phosphate synthase activity; phosphoribosylanthranilate isomerase activity
EG11027,gene_knockout_TU_ID_rest_list_rerun2,TU00067[c],True,False,False,trpD,True,anthranilate synthase subunit TrpD,945109,6,L-tryptophan biosynthetic process; anthranilate phosphoribosyltransferase activity; anthranilate synthase activity; glycosyltransferase activity; magnesium ion binding; pentosyltransferase activity
EG11028,gene_knockout_TU_ID_rest_list_rerun2,TU00067[c],True,False,False,trpE,True,anthranilate synthase subunit TrpE,945846,2,L-tryptophan biosynthetic process; anthranilate synthase activity
EG11030,gene_knockout_TU_ID_rest_list_rerun2,TU0-8862[c],False,True,False,trpS,True,tryptophan--tRNA ligase,947894,8,ATP binding; aminoacyl-tRNA ligase activity; cytoplasm; cytosol; nucleotide binding; tRNA aminoacylation for protein translation; tryptophan-tRNA ligase activity; tryptophanyl-tRNA aminoacylation
EG11039,gene_knockout_TU_ID_rest_list_rerun2,TU00008[c],True,False,False,tyrA,True,fused chorismate mutase/prephenate dehydrogenase,947115,10,L-phenylalanine biosynthetic process; L-tyrosine biosynthetic process; NAD+ binding; carboxylic acid metabolic process; chorismate metabolic process; chorismate mutase activity; cytoplasm; prephenate dehydrogenase (NAD+) activity; prephenate dehydrogenase (NADP+) activity; protein homodimerization activity
EG11043,gene_knockout_TU_ID_rest_list_rerun,TU0-14629[c],False,True,False,tyrS,True,tyrosine--tRNA ligase,948855,11,ATP binding; RNA binding; aminoacyl-tRNA ligase activity; cytoplasm; cytosol; membrane; nucleotide binding; protein homodimerization activity; tRNA aminoacylation for protein translation; tyrosine-tRNA ligase activity; tyrosyl-tRNA aminoacylation
EG11067,gene_knockout_TU_ID_rest_list_rerun,TU0-14474[c],False,True,False,valS,True,valine--tRNA ligase,948785,13,ATP binding; aminoacyl-tRNA deacylase activity; aminoacyl-tRNA ligase activity; aminoacyl-tRNA metabolism involved in translational fidelity; cytoplasm; cytosol; cytosolic valyl-tRNA aminoacylation; magnesium ion binding; nucleotide binding; positive regulation of translational fidelity; tRNA aminoacylation for protein translation; valine-tRNA ligase activity; valyl-tRNA aminoacylation
EG11198,gene_knockout_TU_ID_rest_list_rerun2,TU00280[c],False,True,False,glmU,True,fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,948246,12,UDP-N-acetylglucosamine biosynthetic process; UDP-N-acetylglucosamine diphosphorylase activity; cell morphogenesis; cytoplasm; cytosol; glucosamine-1-phosphate N-acetyltransferase activity; identical protein binding; lipid A biosynthetic process; magnesium ion binding; peptidoglycan biosynthetic process; protein binding; transferase activity
EG11223,gene_knockout_TU_ID_rest_list_rerun2,TU0-42684[c],False,True,False,argH,True,argininosuccinate lyase,948463,6,L-arginine biosynthetic process; argininosuccinate lyase activity; catalytic activity; cytoplasm; cytosol; lyase activity
EG11231,gene_knockout_p_list,EG11231,True,False,False,rpmI,True,50S ribosomal subunit protein L35,946349,6,cytoplasm; cytoplasmic translation; cytosolic large ribosomal subunit; ribosome; structural constituent of ribosome; translation
EG11232,gene_knockout_p_list,EG11232,True,False,False,rpmJ,True,50S ribosomal subunit protein L36,947805,6,cytoplasm; cytoplasmic translation; cytosolic large ribosomal subunit; ribosome; structural constituent of ribosome; translation
EG11286,gene_knockout_TU_ID_rest_list_rerun2,TU0-6886[c],True,False,False,argE,True,acetylornithine deacetylase,948456,7,L-arginine biosynthetic process; acetylornithine deacetylase activity; cobalt ion binding; cytoplasm; deacetylase activity; hydrolase activity; zinc ion binding
EG11318,gene_knockout_TU_ID_rest_list_rerun2,TU0-1[c],False,True,False,fabG,True,3-oxoacyl-,945645,10,"3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity; NAD binding; NADP binding; biotin biosynthetic process; cytosol; fatty acid biosynthetic process; fatty acid elongation; identical protein binding; lipid biosynthetic process; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
EG11375,gene_knockout_TU_ID_rest_list_rerun,TU0-13539[c],False,True,False,folE,True,GTP cyclohydrolase 1,949040,11,GTP binding; GTP cyclohydrolase I activity; cytoplasm; cytosol; identical protein binding; one-carbon metabolic process; protein-containing complex; tRNA queuosine(34) biosynthetic process; tetrahydrobiopterin biosynthetic process; tetrahydrofolate biosynthetic process; zinc ion binding
EG11443,gene_knockout_TU_ID_rest_list_rerun2,TU0-7341[c],True,False,False,rpiA,True,ribose-5-phosphate isomerase A,947407,7,"D-ribose metabolic process; cytosol; identical protein binding; pentose-phosphate shunt; pentose-phosphate shunt, non-oxidative branch; protein homodimerization activity; ribose-5-phosphate isomerase activity"
EG11546,gene_knockout_TU_ID_rest_list_rerun,TU0-12812[c],False,True,False,nadC,True,quinolinate phosphoribosyltransferase (decarboxylating),948869,7,'de novo' NAD+ biosynthetic process from L-aspartate; NAD+ biosynthetic process; cytoplasm; cytosol; nicotinate-nucleotide diphosphorylase (carboxylating) activity; pentosyltransferase activity; quinolinate catabolic process
EG11575,gene_knockout_TU_ID_rest_list_rerun2,TU0-42478[c],True,False,False,leuD,True,3-isopropylmalate dehydratase subunit LeuD,945642,5,3-isopropylmalate dehydratase activity; 3-isopropylmalate dehydratase complex; L-leucine biosynthetic process; cytosol; protein binding
