generation_reconstructed,start_time,end_time,n_points,growth_mean,dry_mass_start,dry_mass_end,fold_change_mass,log_fold_change_mass,project,variant,lineage_seed,label,gene_id,run_type,step_scale
7,15906.0,18666.0,139,0.000254834865885212,362.867544989989,737.7543735071954,2.0331230601721324,0.709573064133561,gene_ko_trial40_seed101,4,101,KO: EG10030,EG10030,KO,1.0
8,18686.0,21371.0,136,0.0002681228795623584,741.8648793964942,770.0579296365597,1.0380029450416908,0.03729862196673438,gene_ko_trial40_seed101,4,101,KO: EG10030,EG10030,KO,1.0
1,0.0,2220.0,112,0.00026444663000330516,411.0543724014915,741.7773883072855,1.804572431558434,0.5903236837013119,gene_ko_trial40_seed101,5,101,KO: EG10032,EG10032,KO,1.0
2,2235.0,4935.0,136,0.0002405225237175725,371.7595430904971,713.4499969964252,1.9191168330620383,0.6518650974349699,gene_ko_trial40_seed101,5,101,KO: EG10032,EG10032,KO,1.0
3,4946.0,7746.0,141,0.00023044657944951713,357.24599978728656,684.3896515252811,1.915737760346608,0.6501028018862591,gene_ko_trial40_seed101,5,101,KO: EG10032,EG10032,KO,1.0
4,7752.0,10652.0,146,0.00024637285806894215,343.3103370923434,704.9231917694076,2.0533118744391254,0.7194540380625429,gene_ko_trial40_seed101,5,101,KO: EG10032,EG10032,KO,1.0
5,10671.0,13511.0,143,0.00023201132271528788,353.9985876939386,688.1483104460253,1.9439295363544986,0.6647114586500937,gene_ko_trial40_seed101,5,101,KO: EG10032,EG10032,KO,1.0
6,13519.0,16419.0,146,0.00022321181555796276,346.5007951060478,666.1897666888424,1.9226211774923998,0.6536894516166886,gene_ko_trial40_seed101,5,101,KO: EG10032,EG10032,KO,1.0
7,16429.0,19469.0,153,0.00020136455766181272,334.7238976246547,620.1326435436172,1.8526691638820718,0.6166273905545352,gene_ko_trial40_seed101,5,101,KO: EG10032,EG10032,KO,1.0
8,19488.0,22768.0,165,0.00018223288833378018,310.7230238568801,568.2641065523053,1.8288445429587779,0.6036843701478306,gene_ko_trial40_seed101,5,101,KO: EG10032,EG10032,KO,1.0
