generation_reconstructed,start_time,end_time,n_points,growth_mean,dry_mass_start,dry_mass_end,fold_change_mass,log_fold_change_mass,project,variant,lineage_seed,label,gene_id,run_type,step_scale
7,18482.0,21376.0,9,0.0001797958279015613,335.92195690636254,302.0656121768251,0.8992136595019454,-0.10623460923083587,gene_ko_441imported_2seeds,163,100,KO: EG10565,EG10565,KO,20.0
8,21776.0,24576.0,8,0.0001958168536649866,329.25975663514726,571.1136361386311,1.7345382319877074,0.5507412292647139,gene_ko_441imported_2seeds,163,100,KO: EG10565,EG10565,KO,20.0
1,0.0,4057.0,12,0.00019233437019353333,266.9764925372041,345.67416844005186,1.294773802573202,0.25833601006730694,gene_ko_441imported_2seeds,164,100,KO: EG11102,EG11102,KO,20.0
2,4457.0,6907.0,8,0.00019716612327758145,376.1477933704258,326.2479477201971,0.8673397889613885,-0.14232446552933678,gene_ko_441imported_2seeds,164,100,KO: EG11102,EG11102,KO,20.0
3,7307.0,10014.0,8,0.00019582037209292538,356.3867117689922,324.28161942942677,0.9099150128796728,-0.09440407627250678,gene_ko_441imported_2seeds,164,100,KO: EG11102,EG11102,KO,20.0
4,10414.0,13147.0,8,0.00017456433001114161,352.8996446042951,302.5702897126173,0.8573833789260064,-0.15387011044352172,gene_ko_441imported_2seeds,164,100,KO: EG11102,EG11102,KO,20.0
5,13547.0,16543.0,9,0.00018406603361792426,325.13260202793583,302.4497921608677,0.9302352033429142,-0.07231781799003635,gene_ko_441imported_2seeds,164,100,KO: EG11102,EG11102,KO,20.0
6,16943.0,20005.0,9,0.0002043552398694295,329.10139318854124,337.38967812759495,1.0251845938990156,0.024872687984620154,gene_ko_441imported_2seeds,164,100,KO: EG11102,EG11102,KO,20.0
7,20405.0,23052.0,8,0.0001935296980244599,373.21338663432414,337.9151038202401,0.9054206411715092,-0.09935564639222311,gene_ko_441imported_2seeds,164,100,KO: EG11102,EG11102,KO,20.0
8,23452.0,25852.0,7,0.00024307168115329203,369.8996305609452,667.1791284796836,1.8036761147014941,0.5898268682165222,gene_ko_441imported_2seeds,164,100,KO: EG11102,EG11102,KO,20.0
1,0.0,4058.0,12,0.00020666272820468645,266.9493849022739,360.865206965305,1.3518113446764908,0.30144542992326984,gene_ko_441imported_2seeds,165,100,KO: EG11971,EG11971,KO,20.0
2,4458.0,6799.0,7,0.00019502472013974183,394.97558427204865,336.6383681963571,0.8523017158561618,-0.15981468824910441,gene_ko_441imported_2seeds,165,100,KO: EG11971,EG11971,KO,20.0
3,7199.0,9824.0,8,0.0002238301423459465,369.4786918411286,372.9073941323205,1.0092798376926868,0.00923704453751844,gene_ko_441imported_2seeds,165,100,KO: EG11971,EG11971,KO,20.0
4,10224.0,12551.0,7,0.00022072016949991575,415.0454086406496,377.6226373846116,0.9098345133401078,-0.09449254948099801,gene_ko_441imported_2seeds,165,100,KO: EG11971,EG11971,KO,20.0
5,12951.0,15144.0,7,0.00022642922916303726,419.34285567295547,375.1795161142534,0.8946844116663693,-0.11128423555301939,gene_ko_441imported_2seeds,165,100,KO: EG11971,EG11971,KO,20.0
6,15544.0,17794.0,7,0.00019613468547175698,414.35812766859635,346.88191875042764,0.8371548561196893,-0.17774621232033644,gene_ko_441imported_2seeds,165,100,KO: EG11971,EG11971,KO,20.0
7,18194.0,20656.0,8,0.00018722344812616655,379.39150260180384,317.6502616232473,0.8372624569734815,-0.17761768897899394,gene_ko_441imported_2seeds,165,100,KO: EG11971,EG11971,KO,20.0
8,21056.0,23856.0,8,0.00018719452083355208,345.90572806771297,583.3939304726216,1.6865691520390753,0.5226963779633175,gene_ko_441imported_2seeds,165,100,KO: EG11971,EG11971,KO,20.0
1,0.0,4071.0,12,0.00022045899575364947,266.9623117291867,397.27202940234315,1.4881202774620335,0.3975137647719108,gene_ko_441imported_2seeds,166,100,KO: EG11318,EG11318,KO,20.0
2,4471.0,6560.0,7,0.000232749782460141,444.9328516231494,389.89920977289137,0.876310230522446,-0.13203510630806747,gene_ko_441imported_2seeds,166,100,KO: EG11318,EG11318,KO,20.0
