gene_symbol,Gene,RNA ID,failed_before_gen8,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,n_simulations
ilvd,ilvD,EG10496_RNA,True,1,True,expected_essential,True,2
ilve,ilvE,EG10497_RNA,False,1,True,expected_essential,False,2
iscs,iscS,G7325_RNA,False,0,False,expected_nonessential,True,2
ispb,ispB,EG10017_RNA,False,1,True,expected_essential,False,2
ispd,ispD,G7423_RNA,False,1,True,expected_essential,False,2
ispu,ispU,G6092_RNA,False,1,True,expected_essential,False,2
kdsc,kdsC,G7663_RNA,False,1,True,expected_essential,False,2
kdsd,kdsD,G7662_RNA,False,0,False,expected_nonessential,True,2
lacy,lacY,EG10526_RNA,False,0,False,expected_nonessential,True,2
leua,leuA,EG11226_RNA,False,1,True,expected_essential,False,2
leub,leuB,EG11577_RNA,False,1,True,expected_essential,False,2
leuc,leuC,EG11576_RNA,False,1,True,expected_essential,False,2
leud,leuD,EG11575_RNA,False,0,False,expected_nonessential,True,2
leus,leuS,EG10532_RNA,False,1,True,expected_essential,False,2
livg,livG,EG10537_RNA,False,0,False,expected_nonessential,True,2
livj,livJ,EG10539_RNA,False,0,False,expected_nonessential,True,2
lldd,lldD,EG11963_RNA,False,0,False,expected_nonessential,True,2
lpla,lplA,EG11796_RNA,False,0,False,expected_nonessential,True,2
lpta,lptA,G7665_RNA,False,1,True,expected_essential,False,2
lptc,lptC,G7664_RNA,False,0,False,expected_nonessential,True,2
lptf,lptF,G7888_RNA,False,1,True,expected_essential,False,2
lptg,lptG,G7889_RNA,False,1,True,expected_essential,False,2
lpxh,lpxH,EG12666_RNA,False,1,True,expected_essential,False,2
lpxl,lpxL,EG10464_RNA,False,0,False,expected_nonessential,True,2
lsra,lsrA,G6800_RNA,False,0,False,expected_nonessential,True,2
luxs,luxS,EG12712_RNA,False,0,False,expected_nonessential,True,2
lysa,lysA,EG10549_RNA,False,0,False,expected_nonessential,True,2
maa,maa,G58_RNA,False,0,False,expected_nonessential,True,2
maeb,maeB,G7293_RNA,False,0,False,expected_nonessential,True,2
mak,mak,EG11288_RNA,False,0,False,expected_nonessential,True,2
malp,malP,EG10560_RNA,False,0,False,expected_nonessential,True,2
malz,malZ,EG10565_RNA,False,0,False,expected_nonessential,True,2
mana,manA,EG10566_RNA,False,0,False,expected_nonessential,True,2
mene,menE,EG12437_RNA,False,0,False,expected_nonessential,True,2
meta,metA,EG10581_RNA,True,0,False,expected_nonessential,False,2
