gene_id,gene_name,gene_symbol,RNA ID,overall_label_death,label_death_bool,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,n_simulations
803,purL,purl,EG10797_RNA,deadly_gene,True,1,True,expected_essential,True,2
804,purM,purm,EG10798_RNA,deadly_gene,True,1,True,expected_essential,True,2
809,pykA,pyka,EG10803_RNA,not_deadly,False,0,False,expected_nonessential,True,2
811,pyrB,pyrb,EG10805_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
812,pyrC,pyrc,EG10806_RNA,deadly_gene,True,1,True,expected_essential,True,2
813,pyrD,pyrd,EG10807_RNA,deadly_gene,True,1,True,expected_essential,True,2
814,pyrE,pyre,EG10808_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
815,pyrF,pyrf,EG10809_RNA,deadly_gene,True,1,True,expected_essential,True,2
816,pyrG,pyrg,EG10810_RNA,deadly_gene,True,1,True,expected_essential,True,2
817,pyrI,pyri,EG10811_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
844,rfaD,rfad,EG10838_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
870,rplA,rpla,EG10864_RNA,deadly_gene,True,1,True,expected_essential,True,2
871,rplB,rplb,EG10865_RNA,deadly_gene,True,1,True,expected_essential,True,2
872,rplC,rplc,EG10866_RNA,deadly_gene,True,1,True,expected_essential,True,2
873,rplD,rpld,EG10867_RNA,deadly_gene,True,1,True,expected_essential,True,2
874,rplE,rple,EG10868_RNA,deadly_gene,True,1,True,expected_essential,True,2
875,rplF,rplf,EG10869_RNA,deadly_gene,True,1,True,expected_essential,True,2
876,rplI,rpli,EG10870_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
877,rplJ,rplj,EG10871_RNA,deadly_gene,True,1,True,expected_essential,True,2
878,rplK,rplk,EG10872_RNA,deadly_gene,True,1,True,expected_essential,True,2
879,rplL,rpll,EG10873_RNA,deadly_gene,True,1,True,expected_essential,True,2
880,rplM,rplm,EG10874_RNA,deadly_gene,True,1,True,expected_essential,True,2
881,rplN,rpln,EG10875_RNA,deadly_gene,True,1,True,expected_essential,True,2
882,rplO,rplo,EG10876_RNA,deadly_gene,True,1,True,expected_essential,True,2
883,rplP,rplp,EG10877_RNA,deadly_gene,True,1,True,expected_essential,True,2
884,rplQ,rplq,EG10878_RNA,deadly_gene,True,1,True,expected_essential,True,2
885,rplR,rplr,EG10879_RNA,deadly_gene,True,1,True,expected_essential,True,2
886,rplS,rpls,EG10880_RNA,deadly_gene,True,1,True,expected_essential,True,2
887,rplT,rplt,EG10881_RNA,deadly_gene,True,1,True,expected_essential,True,2
888,rplV,rplv,EG10882_RNA,deadly_gene,True,1,True,expected_essential,True,2
889,rplW,rplw,EG10883_RNA,deadly_gene,True,1,True,expected_essential,True,2
890,rplX,rplx,EG10884_RNA,deadly_gene,True,1,True,expected_essential,True,2
891,rplY,rply,EG10885_RNA,deadly_gene,True,1,True,expected_essential,True,2
892,rpmB,rpmb,EG10886_RNA,deadly_gene,True,1,True,expected_essential,True,2
893,rpmC,rpmc,EG10887_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
894,rpmD,rpmd,EG10888_RNA,deadly_gene,True,1,True,expected_essential,True,2
895,rpmE,rpme,EG10889_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
896,rpmF,rpmf,EG10890_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
897,rpmG,rpmg,EG10891_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
898,rpmH,rpmh,EG10892_RNA,deadly_gene,True,1,True,expected_essential,True,2
899,rpoA,rpoa,EG10893_RNA,deadly_gene,True,1,True,expected_essential,True,2
900,rpoB,rpob,EG10894_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
901,rpoC,rpoc,EG10895_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
906,rpsA,rpsa,EG10900_RNA,deadly_gene,True,1,True,expected_essential,True,2
907,rpsB,rpsb,EG10901_RNA,deadly_gene,True,1,True,expected_essential,True,2
908,rpsC,rpsc,EG10902_RNA,deadly_gene,True,1,True,expected_essential,True,2
909,rpsD,rpsd,EG10903_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
910,rpsE,rpse,EG10904_RNA,deadly_gene,True,1,True,expected_essential,True,2
911,rpsF,rpsf,EG10905_RNA,deadly_gene,True,1,True,expected_essential,True,2
912,rpsG,rpsg,EG10906_RNA,deadly_gene,True,1,True,expected_essential,True,2
913,rpsH,rpsh,EG10907_RNA,deadly_gene,True,1,True,expected_essential,True,2
914,rpsI,rpsi,EG10908_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
915,rpsJ,rpsj,EG10909_RNA,deadly_gene,True,1,True,expected_essential,True,2
916,rpsK,rpsk,EG10910_RNA,deadly_gene,True,1,True,expected_essential,True,2
917,rpsL,rpsl,EG10911_RNA,deadly_gene,True,1,True,expected_essential,True,2
918,rpsM,rpsm,EG10912_RNA,deadly_gene,True,1,True,expected_essential,True,2
919,rpsN,rpsn,EG10913_RNA,deadly_gene,True,1,True,expected_essential,True,2
920,rpsO,rpso,EG10914_RNA,deadly_gene,True,1,True,expected_essential,True,2
921,rpsP,rpsp,EG10915_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
922,rpsQ,rpsq,EG10916_RNA,deadly_gene,True,1,True,expected_essential,True,2
923,rpsR,rpsr,EG10917_RNA,deadly_gene,True,1,True,expected_essential,True,2
924,rpsS,rpss,EG10918_RNA,deadly_gene,True,1,True,expected_essential,True,2
925,rpsT,rpst,EG10919_RNA,deadly_gene,True,1,True,expected_essential,True,2
926,rpsU,rpsu,EG10920_RNA,deadly_gene,True,1,True,expected_essential,True,2
932,sbmA,sbma,EG10928_RNA,not_deadly,False,0,False,expected_nonessential,True,2
950,serC,serc,EG10946_RNA,not_deadly,False,1,True,expected_essential,False,2
951,serS,sers,EG10947_RNA,deadly_gene,True,1,True,expected_essential,True,2
969,gmk,gmk,EG10965_RNA,deadly_gene,True,1,True,expected_essential,True,2
984,sucB,sucb,EG10980_RNA,not_deadly,False,1,True,expected_essential,False,2
986,sucD,sucd,EG10982_RNA,not_deadly,False,0,False,expected_nonessential,True,2
1003,thrB,thrb,EG10999_RNA,deadly_gene,True,1,True,expected_essential,True,2
1004,thrC,thrc,EG11000_RNA,deadly_gene,True,1,True,expected_essential,True,2
1005,thrS,thrs,EG11001_RNA,deadly_gene,True,1,True,expected_essential,True,2
1006,thyA,thya,EG11002_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
1009,tnaA,tnaa,EG11005_RNA,not_deadly,False,0,False,expected_nonessential,True,2
1012,tolB,tolb,EG11008_RNA,not_deadly,False,0,False,expected_nonessential,True,2
1028,trpA,trpa,EG11024_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
