project,variant,label,mean_growth_rate,median_growth_rate,std_growth_rate,max_growth_rate,initial_dry_mass,final_dry_mass,max_dry_mass,fold_change_mass,duration_sec,n_timepoints,generations_used,source_file,lineage_seed,gene_id,run_type,ko_gene_id,growth_next_h,current_growth_h,current_dry_mass_g,current_generation,target_generation,gen_step,peak_generation,peak_censored,is_pre_peak,sample_id
gene_knockout_TU_ID_rest_list_rerun,111,KO: TU0-14547[c],0.0001988296268991,0.0002215661394862,7.88829708265994e-05,0.0002799548122374,380.02386915661725,592.6963375057446,718.5506446184727,1.5596292380820946,22955.0,63,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14547[c],KO,TU0-14547[c],0.71578665683676,0.71578665683676,380.02386915661725,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v111|s11|KO: TU0-14547[c]
gene_knockout_TU_ID_rest_list_rerun,112,KO: TU0-14571[c],0.0001907901424185,0.0002161234032418,7.726475352205481e-05,0.0002759328365965,379.596996883102,551.530171766284,708.5358968793535,1.4529360777217353,23961.0,65,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14571[c],KO,TU0-14571[c],0.6868445127066,0.6868445127066,379.596996883102,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v112|s11|KO: TU0-14571[c]
gene_knockout_TU_ID_rest_list_rerun,113,KO: TU0-14629[c],0.0001897848178383,0.0002088209206114,7.792104849230785e-05,0.0002860753133536,379.8942874742761,549.5179834492783,721.171908230659,1.446502360176943,23925.0,65,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14629[c],KO,TU0-14629[c],0.6832253442178801,0.6832253442178801,379.8942874742761,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v113|s11|KO: TU0-14629[c]
gene_knockout_TU_ID_rest_list_rerun,114,KO: TU0-14634[c],0.0003405357244085,0.0001101337029929,0.000406250951633,0.0013107324352213,379.4379619720795,3608.090347572883,3608.090347572883,9.509038918563398,9545.0,26,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14634[c],KO,TU0-14634[c],1.2259286078706,1.2259286078706,379.4379619720795,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v114|s11|KO: TU0-14634[c]
gene_knockout_TU_ID_rest_list_rerun,115,KO: TU0-14640[c],0.0002039438184918,0.0002298794450611,8.319114346543679e-05,0.0003037384029334,379.6439052033136,573.8496703514636,722.3429958341396,1.5115471695618174,22031.0,60,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14640[c],KO,TU0-14640[c],0.73419774657048,0.73419774657048,379.6439052033136,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v115|s11|KO: TU0-14640[c]
gene_knockout_TU_ID_rest_list_rerun,116,KO: TU0-14642[c],0.0001991952753239,0.0002206711587593,7.942826030107522e-05,0.000280468247887,379.8280283631651,602.5109285064532,710.0173919075035,1.5862729538494569,23040.0,61,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14642[c],KO,TU0-14642[c],0.71710299116604,0.71710299116604,379.8280283631651,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v116|s11|KO: TU0-14642[c]
gene_knockout_TU_ID_rest_list_rerun,117,KO: TU0-14654[c],2.347005198444888e-05,2.239454581968896e-07,4.791301233617136e-05,0.0001411836949409,380.0214549443965,510.6244789697444,512.7729792817725,1.343672764592876,10800.0,28,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14654[c],KO,TU0-14654[c],0.08449218714401598,0.08449218714401598,380.0214549443965,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v117|s11|KO: TU0-14654[c]
gene_knockout_TU_ID_rest_list_rerun,118,KO: TU0-14658[c],0.0,0.0,0.0,0.0,379.4163047248632,379.4163047248632,379.4163047248632,1.0,0.0,1,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14658[c],KO,TU0-14658[c],0.0,0.0,379.4163047248632,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v118|s11|KO: TU0-14658[c]
gene_knockout_TU_ID_rest_list_rerun,119,KO: TU0-14693[c],0.0002058588110655,0.0002337462665954,8.165811011729211e-05,0.0003085689002849,379.9875211192326,649.3702699382768,698.2205191974035,1.7089252510861197,22631.0,61,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14693[c],KO,TU0-14693[c],0.7410917198358,0.7410917198358,379.9875211192326,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v119|s11|KO: TU0-14693[c]
gene_knockout_TU_ID_rest_list_rerun,120,KO: TU0-14787[c],0.0001936570419604,0.0002155835530447,7.62356245380314e-05,0.0002777524940453,379.90444943839225,588.5024925119881,714.6968316225546,1.5490802842187386,23611.0,64,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14787[c],KO,TU0-14787[c],0.6971653510574399,0.6971653510574399,379.90444943839225,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v120|s11|KO: TU0-14787[c]
