project,variant,label,mean_growth_rate,median_growth_rate,std_growth_rate,max_growth_rate,initial_dry_mass,final_dry_mass,max_dry_mass,fold_change_mass,duration_sec,n_timepoints,generations_used,source_file,lineage_seed,gene_extracted,ko_tu_id,run_type
gene_knockout_TU_ID_rest_list_rerun,45,KO: TU0-13565[c],0.0002362727959235,0.0002376062011276,2.7676387783811674e-05,0.0003210489945342,366.0085430369354,665.6314843430084,710.5826848167999,1.8186228081453195,22914.0,1149,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13565[c],TU0-13565[c],KO
gene_knockout_TU_ID_rest_list_rerun,46,KO: TU0-13580[c],0.0002404596277541,0.0002423609274907,2.7143458760509836e-05,0.0003023819311611,365.8761099543683,696.462197090272,742.8999452046621,1.9035465233768172,22672.0,1138,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13580[c],TU0-13580[c],KO
gene_knockout_TU_ID_rest_list_rerun,47,KO: TU0-13593[c],4.910611302182972e-05,4.40308248445322e-05,2.691195703644238e-05,0.0004927747362275,366.2308021943298,263.68942622298994,453.5886766189103,0.7200088704801808,21344.0,1069,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13593[c],TU0-13593[c],KO
gene_knockout_TU_ID_rest_list_rerun,48,KO: TU0-13627[c],0.0002249538621708,0.0002219196285795,4.18708466646331e-05,0.0010952790990866,365.9568102540403,623.1205715721228,737.2406146275046,1.7027161515031357,23479.0,1177,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13627[c],TU0-13627[c],KO
gene_knockout_TU_ID_rest_list_rerun,49,KO: TU0-13637[c],0.0002282475184083,0.0002391849710061,4.036168318997024e-05,0.0003448313073688,366.1094758784684,698.0584222242512,746.3496643029396,1.9066931292867568,23889.0,1199,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13637[c],TU0-13637[c],KO
gene_knockout_TU_ID_rest_list_rerun,50,KO: TU0-13642[c],4.815551688969684e-05,4.253546267253025e-05,2.022076950209665e-05,0.0001970915943648,366.2237787301409,256.5882716894632,457.5372816210356,0.7006324727989203,21226.0,1063,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13642[c],TU0-13642[c],KO
gene_knockout_TU_ID_rest_list_rerun,51,KO: TU0-13651[c],0.0002488749410459,0.000253582242781,2.790390664816416e-05,0.0002991917347894,366.2423560420872,676.1314919108838,1505.8767641896557,1.846131341054352,21837.0,1097,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13651[c],TU0-13651[c],KO
gene_knockout_TU_ID_rest_list_rerun,52,KO: TU0-13713[c],0.0002393818256754,0.0002390040553517,3.284555165030408e-05,0.0005752890362494,366.2146177453702,644.5623131344407,739.531199761045,1.760067135229993,22383.0,1123,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13713[c],TU0-13713[c],KO
gene_knockout_TU_ID_rest_list_rerun,53,KO: TU0-13736[c],0.0002227088521647,0.0002235747351997,2.9589884037235608e-05,0.0002850582898966,366.1652289028598,589.2656377057485,720.4786548202803,1.6092888979965796,23772.0,1193,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13736[c],TU0-13736[c],KO
gene_knockout_TU_ID_rest_list_rerun,54,KO: TU0-13741[c],0.0002290598973959,0.0002296239489241,3.2953199841809274e-05,0.0006078110520653,366.1738808140483,717.3418877145127,730.7058195916279,1.9590198135371533,23799.0,1194,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13741[c],TU0-13741[c],KO
gene_knockout_TU_ID_rest_list_rerun,55,KO: TU0-13783[c],0.0002025661869746,0.0002025297272643,3.368424512336101e-05,0.0003072099736657,366.0716859534766,611.1766092435594,699.3512482298765,1.669554441643522,26269.0,1319,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13783[c],TU0-13783[c],KO
gene_knockout_TU_ID_rest_list_rerun,56,KO: TU0-13785[c],0.0002293437308101,0.0002290964589175,3.7764962079791294e-05,0.0003447333715714,366.0807434701677,592.2766318393114,774.2833616167886,1.6178852409033546,23048.0,1156,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13785[c],TU0-13785[c],KO
gene_knockout_TU_ID_rest_list_rerun,57,KO: TU0-13792[c],0.0002327926038501,0.0002340857478707,2.747887675402413e-05,0.0003007712085104,365.5674814499925,649.4087601704471,712.3464814128704,1.7764401734930642,23182.0,1163,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13792[c],TU0-13792[c],KO
gene_knockout_TU_ID_rest_list_rerun,58,KO: TU0-13807[c],0.0002095977366675,0.000203121751094,3.235294918953392e-05,0.0003902383075479,366.17886190671857,704.0034486093632,716.1538813546449,1.922567143672818,26158.0,1311,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13807[c],TU0-13807[c],KO
