operon_id,num_tus,tu_ids
OP483,1,TU0-12945[c]
OP484,3,TU00337[c];rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO[c];rpmJ[c]
OP485,1,TU00325[c]
OP486,1,TU0-8493[c]
OP487,1,TU0-6562[c]
OP488,4,TU0-198742[c];TU0-198743[c];TU0-198744[c];TU0-45207[c]
OP489,2,TU0-8323[c];TU00203[c]
OP490,1,TU0-3424[c]
OP491,3,TU0-14499[c];TU0-14550[c];TU00326[c]
OP492,1,TU0-13672[c]
OP493,2,TU0-1781[c];TU0-1782[c]
OP494,2,TU0-13744[c];TU0-6683[c]
OP495,1,TU0-1141[c]
OP496,1,TU00094[c]
OP497,1,TU00055[c]
OP498,1,TU00056[c]
OP499,1,TU00082[c]
OP500,1,TU00057[c]
OP501,1,TU00058[c]
OP502,1,TU00059[c]
OP503,1,TU355[c]
OP504,1,TU103[c]
OP505,1,TU0-13440[c]
OP506,1,TU0-14630[c]
OP507,1,TU00484[c]
OP508,1,TU00060[c]
OP509,1,TU00061[c]
OP510,2,TU0-14696[c];TU00334[c]
OP511,3,TU0-13200[c];TU0-14472[c];TU0-6407[c]
OP512,1,TU871[c]
OP513,1,TU0-13227[c]
OP514,1,EG10814_RNA[c]
OP515,1,EG10815_RNA[c]
OP516,1,EG10816_RNA[c]
OP517,1,EG10817_RNA[c]
OP518,1,EG10818_RNA[c]
OP519,1,EG10819_RNA[c]
OP520,1,TU00486[c]
OP521,2,TU0-14359[c];TU0-36403[c]
OP522,1,TU00328[c]
OP523,2,TU0-4525[c];TU00062[c]
OP524,2,TU-8388[c];TU0-13745[c]
OP525,1,TU0-13226[c]
OP526,3,TU0-42470[c];TU00344[c];rpoZ[c]
OP527,1,TU0-2[c]
OP528,1,TU0-14047[c]
OP529,1,TU0-3422[c]
OP530,3,TU0-13324[c];TU0-13325[c];TU0-14381[c]
OP531,1,TU0-6511[c]
OP532,2,TU0-4181[c];rfaD[c]
OP533,1,TU0-8499[c]
OP534,1,TU0-14039[c]
OP535,1,TU0-14278[c]
OP536,1,TU0-45202[c]
OP537,1,TU0-14037[c]
OP538,2,TU0-42518[c];TU0-6941[c]
OP539,2,TU0-13989[c];TU0-14555[c]
OP540,1,TU0-13948[c]
OP541,1,TU0-13026[c]
OP542,1,TU0-12960[c]
OP543,1,TU0-14216[c]
OP544,1,TU0-8281[c]
OP545,3,TU0-14516[c];TU0-2101[c];TU0-2121[c]
OP546,1,TU0-6423[c]
OP547,1,TU0-12997[c]
OP548,1,TU0-14354[c]
OP549,1,TU-8407[c]
OP550,1,TU0-6685[c]
OP551,2,TU00340[c];rpmH[c]
OP552,6,TU0-6512[c];TU0-7002[c];TU0-8464[c];TU00335[c];rplJL[c];rplKAJL[c]
OP553,1,TU00347[c]
OP554,2,TU0-42202[c];TU00336[c]
OP555,1,TU0-14658[c]
OP556,1,TU00351[c]
OP557,1,TU0-13557[c]
OP558,1,TU0-45156[c]
OP559,1,TU0-45218[c]
OP560,8,TU-8398[c];TU0-14290[c];TU0-14291[c];TU0-14292[c];TU0-198865[c];TU0-198866[c];TU0-36430[c];TU00487[c]
