gene_id,monomer_id,mean_functional_units,num_complexes,is_functional
EG10967,EG10967-MONOMER[c],0.2222222222222222,1,False
EG11630,POTG-MONOMER[i],0.22264631043256997,1,False
EG11629,POTF-MONOMER[p],0.22264631043256997,1,False
EG11632,POTI-MONOMER[i],0.22264631043256997,1,False
EG11631,POTH-MONOMER[i],0.22264631043256997,1,False
EG11452,UDPMANNACADEHYDROG-MONOMER[c],0.22349448685326548,1,False
G6882,G6882-MONOMER[c],0.22391857506361323,1,False
EG10730,CREC-MONOMER[i],0.22561492790500423,1,False
EG10366,GALACTURIDYLYLTRANS-MONOMER[c],0.226039016115352,1,False
EG11669,ATOD-MONOMER[c],0.22646310432569974,2,False
EG12167,EG12167-MONOMER[c],0.22731128074639526,1,False
EG10154,EG10154-MONOMER[c],0.227735368956743,2,False
G7572,G7572-MONOMER[c],0.22815945716709077,1,False
G7571,G7571-MONOMER[c],0.22815945716709077,1,False
G7193,G7193-MONOMER[c],0.2285835453774385,1,False
EG10837,EG10837-MONOMER[c],0.229431721798134,1,False
EG11109,PD01103[c],0.23027989821882952,1,False
EG11981,GALPMUT-MONOMER[c],0.23155216284987276,1,False
EG10646,NARX-MONOMER[i],0.23155216284987276,3,False
EG10445,IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER[c],0.23155216284987276,1,False
EG10629,EMRE-MONOMER[i],0.23197625106022052,1,False
EG11704,ACRB-MONOMER[m],0.23240033927056822,1,False
EG10808,OROPRIBTRANS-MONOMER[c],0.23240033927056827,1,False
EG10163,CPXA-MONOMER[i],0.23282442748091603,1,False
EG10093,PD00250[c],0.23324851569126379,1,False
G7423,G7423-MONOMER[c],0.23367260390161154,1,False
G7455,G7455-MONOMER[c],0.23367260390161154,1,False
EG11298,EG11298-MONOMER[c],0.23452078032230703,1,False
EG11490,GLUTDECARBOXB-MONOMER[c],0.2348035057958722,1,False
G198,HMP-KIN-MONOMER[c],0.23494486853265478,1,False
EG11325,ACONITASE-MONOMER[c],0.23536895674300254,1,False
G6358,G6358-MONOMER[c],0.23558100084817643,1,False
EG12331,YADQ-MONOMER[i],0.2357930449533503,1,False
G6278,G6278-MONOMER[c],0.2360050890585242,1,False
EG11942,YJCG-MONOMER[i],0.2366412213740458,1,False
G7135,HMP-P-KIN-MONOMER[c],0.23706530958439356,1,False
EG11672,ACETYL-COA-ACETYLTRANSFER-MONOMER[c],0.23706530958439356,1,False
EG11877,EG11877-MONOMER[c],0.23748939779474132,1,False
EG11234,EG11234-MONOMER[c],0.23791348600508905,1,False
EG10053,RIBULOKIN-MONOMER[c],0.23791348600508905,1,False
EG11853,EG11853-MONOMER[c],0.2383375742154368,1,False
