variant,gene_id,failed_before_gen8,expected_failed_before_gen8,RNA ID,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,n_simulations
192,EG10209,False,False,EG10209_RNA,0,False,expected_nonessential,True,2
193,EG10061,False,False,EG10061_RNA,0,False,expected_nonessential,True,2
194,EG10148,False,False,EG10148_RNA,0,False,expected_nonessential,True,2
195,EG10881,True,True,EG10881_RNA,1,True,expected_essential,True,2
196,EG11539,False,True,EG11539_RNA,1,True,expected_essential,False,2
197,G7501,False,False,G7501_RNA,0,False,expected_nonessential,True,2
198,EG10183,False,False,EG10183_RNA,0,False,expected_nonessential,True,2
199,EG10063,True,False,EG10063_RNA,0,False,expected_nonessential,False,2
200,EG10902,True,True,EG10902_RNA,1,True,expected_essential,True,2
201,EG10164,False,False,EG10164_RNA,0,False,expected_nonessential,True,2
202,EG11075,False,False,EG11075_RNA,0,False,expected_nonessential,True,2
203,EG11443,False,False,EG11443_RNA,0,False,expected_nonessential,True,2
204,EG10795,False,True,EG10795_RNA,1,True,expected_essential,False,2
205,EG10262,False,False,EG10262_RNA,0,False,expected_nonessential,True,2
206,EG10221,False,False,EG10221_RNA,0,False,expected_nonessential,True,2
207,EG12563,False,False,EG12563_RNA,0,False,expected_nonessential,True,2
208,EG10450,True,False,EG10450_RNA,0,False,expected_nonessential,False,2
209,EG10451,True,False,EG10451_RNA,0,False,expected_nonessential,False,2
210,EG10193,False,False,EG10193_RNA,0,False,expected_nonessential,True,2
211,EG11002,False,False,EG11002_RNA,0,False,expected_nonessential,True,2
212,EG10913,True,True,EG10913_RNA,1,True,expected_essential,True,2
213,EG10867,True,True,EG10867_RNA,1,True,expected_essential,True,2
214,EG12419,False,False,EG12419_RNA,0,False,expected_nonessential,True,2
215,G7565,False,False,G7565_RNA,0,False,expected_nonessential,True,2
216,G6199,False,False,G6199_RNA,0,False,expected_nonessential,True,2
217,EG11227,False,False,EG11227_RNA,0,False,expected_nonessential,True,2
218,EG10919,True,True,EG10919_RNA,1,True,expected_essential,True,2
219,G6627,False,False,G6627_RNA,0,False,expected_nonessential,True,2
220,EG10006,False,False,EG10006_RNA,0,False,expected_nonessential,True,2
221,EG10585,False,True,EG10585_RNA,1,True,expected_essential,False,2
222,EG10197,False,False,EG10197_RNA,0,False,expected_nonessential,True,2
223,G7911,False,False,G7911_RNA,0,False,expected_nonessential,True,2
224,G6800,False,False,G6800_RNA,0,False,expected_nonessential,True,2
225,EG10110,False,False,EG10110_RNA,0,False,expected_nonessential,True,2
226,EG10889,True,False,EG10889_RNA,0,False,expected_nonessential,False,2
227,EG11463,False,False,EG11463_RNA,0,False,expected_nonessential,True,2
228,EG12627,False,False,EG12627_RNA,0,False,expected_nonessential,True,2
229,EG10065,False,True,EG10065_RNA,1,True,expected_essential,False,2
230,EG10916,True,True,EG10916_RNA,1,True,expected_essential,True,2
231,EG12663,False,False,EG12663_RNA,0,False,expected_nonessential,True,2
232,G7647,False,False,G7647_RNA,0,False,expected_nonessential,True,2
233,EG11039,True,False,EG11039_RNA,0,False,expected_nonessential,False,2
234,EG11490,False,False,EG11490_RNA,0,False,expected_nonessential,True,2
235,EG11198,False,True,EG11198_RNA,1,True,expected_essential,False,2
236,EG10074,True,True,EG10074_RNA,1,True,expected_essential,True,2
237,EG10807,True,True,EG10807_RNA,1,True,expected_essential,True,2
238,EG10058,False,False,EG10058_RNA,0,False,expected_nonessential,True,2
239,EG10907,True,True,EG10907_RNA,1,True,expected_essential,True,2
240,EG10869,True,True,EG10869_RNA,1,True,expected_essential,True,2
241,EG10880,True,True,EG10880_RNA,1,True,expected_essential,True,2
242,G7865,False,False,G7865_RNA,0,False,expected_nonessential,True,2
243,EG10803,False,False,EG10803_RNA,0,False,expected_nonessential,True,2
244,EG10885,True,True,EG10885_RNA,1,True,expected_essential,True,2
245,EG50011,False,False,EG50011_RNA,0,False,expected_nonessential,True,2
246,EG11232,True,False,EG11232_RNA,0,False,expected_nonessential,False,2
247,G7826,False,False,G7826_RNA,0,False,expected_nonessential,True,2
248,G7185,False,False,G7185_RNA,0,False,expected_nonessential,True,2
249,EG11226,True,True,EG11226_RNA,1,True,expected_essential,True,2
250,EG10358,False,False,EG10358_RNA,0,False,expected_nonessential,True,2
251,EG10103,False,False,EG10103_RNA,0,False,expected_nonessential,True,2
252,G7325,False,False,G7325_RNA,0,False,expected_nonessential,True,2
253,G7293,False,False,G7293_RNA,0,False,expected_nonessential,True,2
254,EG10497,True,True,EG10497_RNA,1,True,expected_essential,True,2
255,EG10448,True,False,EG10448_RNA,0,False,expected_nonessential,False,2
256,EG10782,False,False,EG10782_RNA,0,False,expected_nonessential,True,2
257,G7406,False,False,G7406_RNA,0,False,expected_nonessential,True,2
258,EG10755,False,True,EG10755_RNA,1,True,expected_essential,False,2
259,EG12030,False,False,EG12030_RNA,0,False,expected_nonessential,True,2
260,EG10134,False,True,EG10134_RNA,1,True,expected_essential,False,2
261,G6092,False,True,G6092_RNA,1,True,expected_essential,False,2
262,G7507,False,False,G7507_RNA,0,False,expected_nonessential,True,2
263,EG10520,False,True,EG10520_RNA,1,True,expected_essential,False,2
264,EG10634,False,False,EG10634_RNA,0,False,expected_nonessential,True,2
265,EG10806,False,True,EG10806_RNA,1,True,expected_essential,False,2
266,EG10121,False,False,EG10121_RNA,0,False,expected_nonessential,True,2
267,EG10911,True,True,EG10911_RNA,1,True,expected_essential,True,2
268,EG10198,False,False,EG10198_RNA,0,False,expected_nonessential,True,2
269,EG10421,False,True,EG10421_RNA,1,True,expected_essential,False,2
270,EG12504,False,False,EG12504_RNA,0,False,expected_nonessential,True,2
271,EG10055,False,False,EG10055_RNA,0,False,expected_nonessential,True,2
272,EG11556,False,False,EG11556_RNA,0,False,expected_nonessential,True,2
273,EG10191,False,True,EG10191_RNA,1,True,expected_essential,False,2
274,EG10081,True,True,EG10081_RNA,1,True,expected_essential,True,2
275,EG11043,True,True,EG11043_RNA,1,True,expected_essential,True,2
276,EG10190,False,True,EG10190_RNA,1,True,expected_essential,False,2
277,EG10407,True,True,EG10407_RNA,1,True,expected_essential,True,2
278,G7662,False,False,G7662_RNA,0,False,expected_nonessential,True,2
279,EG11286,False,False,EG11286_RNA,0,False,expected_nonessential,True,2
280,EG11632,False,False,EG11632_RNA,0,False,expected_nonessential,True,2
281,EG10048,False,False,EG10048_RNA,0,False,expected_nonessential,True,2
282,G6941,False,False,G6941_RNA,0,False,expected_nonessential,True,2
283,G7449,False,False,G7449_RNA,0,False,expected_nonessential,True,2
284,EG10890,True,False,EG10890_RNA,0,False,expected_nonessential,False,2
285,G7533,False,False,G7533_RNA,0,False,expected_nonessential,True,2
286,EG10917,True,True,EG10917_RNA,1,True,expected_essential,True,2
287,EG10189,False,True,EG10189_RNA,1,True,expected_essential,False,2
288,EG11231,True,False,EG11231_RNA,0,False,expected_nonessential,False,2
289,EG11024,True,False,EG11024_RNA,0,False,expected_nonessential,False,2
290,EG10132,False,False,EG10132_RNA,0,False,expected_nonessential,True,2
291,G6626,False,False,G6626_RNA,0,False,expected_nonessential,True,2
292,G7677,False,False,G7677_RNA,0,False,expected_nonessential,True,2
293,EG10811,False,False,EG10811_RNA,0,False,expected_nonessential,True,2
294,EG12286,False,False,EG12286_RNA,0,False,expected_nonessential,True,2
295,EG12662,False,False,EG12662_RNA,0,False,expected_nonessential,True,2
296,EG10299,False,False,EG10299_RNA,0,False,expected_nonessential,True,2
297,EG10909,True,True,EG10909_RNA,1,True,expected_essential,True,2
298,G6239,False,False,G6239_RNA,0,False,expected_nonessential,True,2
299,EG10053,False,False,EG10053_RNA,0,False,expected_nonessential,True,2
300,EG11379,False,False,EG11379_RNA,0,False,expected_nonessential,True,2
301,EG11508,False,False,EG11508_RNA,0,False,expected_nonessential,True,2
302,EG11819,False,False,EG11819_RNA,0,False,expected_nonessential,True,2
303,EG10654,False,False,EG10654_RNA,0,False,expected_nonessential,True,2
304,EG11647,False,True,EG11647_RNA,1,True,expected_essential,False,2
305,EG11963,False,False,EG11963_RNA,0,False,expected_nonessential,True,2
306,EG10805,False,False,EG10805_RNA,0,False,expected_nonessential,True,2
307,G6442,False,False,G6442_RNA,0,False,expected_nonessential,True,2
308,EG11850,False,False,EG11850_RNA,0,False,expected_nonessential,True,2
309,EG10162,False,False,EG10162_RNA,0,False,expected_nonessential,True,2
310,EG10069,False,False,EG10069_RNA,0,False,expected_nonessential,True,2
311,EG10495,False,True,EG10495_RNA,1,True,expected_essential,False,2
312,G6283,False,False,G6283_RNA,0,False,expected_nonessential,True,2
313,G6234,False,False,G6234_RNA,0,False,expected_nonessential,True,2
314,G6731,False,False,G6731_RNA,0,False,expected_nonessential,True,2
315,EG10092,False,False,EG10092_RNA,0,False,expected_nonessential,True,2
316,EG12384,False,False,EG12384_RNA,0,False,expected_nonessential,True,2
317,EG10875,True,True,EG10875_RNA,1,True,expected_essential,True,2
318,EG12666,False,True,EG12666_RNA,1,True,expected_essential,False,2
319,G58,False,False,G58_RNA,0,False,expected_nonessential,True,2
320,EG10798,False,True,EG10798_RNA,1,True,expected_essential,False,2
321,EG10496,True,True,EG10496_RNA,1,True,expected_essential,True,2
322,EG10912,True,True,EG10912_RNA,1,True,expected_essential,True,2
323,EG10447,True,True,EG10447_RNA,1,True,expected_essential,True,2
324,EG10671,False,False,EG10671_RNA,0,False,expected_nonessential,True,2
325,EG10809,False,True,EG10809_RNA,1,True,expected_essential,False,2
326,EG10879,True,True,EG10879_RNA,1,True,expected_essential,True,2
327,EG10982,False,False,EG10982_RNA,0,False,expected_nonessential,True,2
328,EG12633,False,False,EG12633_RNA,0,False,expected_nonessential,True,2
329,EG10870,True,False,EG10870_RNA,0,False,expected_nonessential,False,2
330,EG11030,True,True,EG11030_RNA,1,True,expected_essential,True,2
331,EG10070,False,False,EG10070_RNA,0,False,expected_nonessential,True,2
332,EG10750,False,False,EG10750_RNA,0,False,expected_nonessential,True,2
333,EG10187,True,True,EG10187_RNA,1,True,expected_essential,True,2
334,EG10049,False,False,EG10049_RNA,0,False,expected_nonessential,True,2
335,EG10492,True,True,EG10492_RNA,1,True,expected_essential,True,2
336,EG10838,False,False,EG10838_RNA,0,False,expected_nonessential,True,2
337,EG11620,False,False,EG11620_RNA,0,False,expected_nonessential,True,2
338,EG10903,True,False,EG10903_RNA,0,False,expected_nonessential,False,2
339,EG11028,True,False,EG11028_RNA,0,False,expected_nonessential,False,2
340,EG10947,True,True,EG10947_RNA,1,True,expected_essential,True,2
341,EG10650,False,False,EG10650_RNA,0,False,expected_nonessential,True,2
342,EG10453,True,True,EG10453_RNA,1,True,expected_essential,True,2
343,G7676,False,False,G7676_RNA,0,False,expected_nonessential,True,2
344,EG10208,True,True,EG10208_RNA,1,True,expected_essential,True,2
345,G6709,False,False,G6709_RNA,0,False,expected_nonessential,True,2
346,EG12245,False,False,EG12245_RNA,0,False,expected_nonessential,True,2
347,EG11470,False,False,EG11470_RNA,0,False,expected_nonessential,True,2
348,EG10178,False,False,EG10178_RNA,0,False,expected_nonessential,True,2
349,G6643,False,False,G6643_RNA,0,False,expected_nonessential,True,2
350,EG10386,False,False,EG10386_RNA,0,False,expected_nonessential,True,2
351,EG11546,False,True,EG11546_RNA,1,True,expected_essential,False,2
352,G7486,False,False,G7486_RNA,0,False,expected_nonessential,True,2
353,EG10797,True,True,EG10797_RNA,1,True,expected_essential,True,2
354,EG11314,False,True,EG11314_RNA,1,True,expected_essential,False,2
355,EG10024,False,False,EG10024_RNA,0,False,expected_nonessential,True,2
356,EG11026,True,False,EG11026_RNA,0,False,expected_nonessential,False,2
357,EG10908,True,False,EG10908_RNA,0,False,expected_nonessential,False,2
358,G7716,False,False,G7716_RNA,0,False,expected_nonessential,True,2
359,EG10207,False,True,EG10207_RNA,1,True,expected_essential,False,2
360,EG10613,False,True,EG10613_RNA,1,True,expected_essential,False,2
361,EG12437,False,False,EG12437_RNA,0,False,expected_nonessential,True,2
362,EG10068,False,True,EG10068_RNA,1,True,expected_essential,False,2
363,EG10097,True,True,EG10097_RNA,1,True,expected_essential,True,2
364,EG10059,False,False,EG10059_RNA,0,False,expected_nonessential,True,2
365,EG10139,False,True,EG10139_RNA,1,True,expected_essential,False,2
366,EG10194,False,True,EG10194_RNA,1,True,expected_essential,False,2
367,EG10566,False,False,EG10566_RNA,0,False,expected_nonessential,True,2
368,EG50001,True,False,EG50001_RNA,0,False,expected_nonessential,False,2
369,G7399,False,False,G7399_RNA,0,False,expected_nonessential,True,2
370,EG10915,True,False,EG10915_RNA,0,False,expected_nonessential,False,2
