tu,coef_full,coef_seedA_train,coef_seedB_train,abs_full,abs_seedA_train,abs_seedB_train,coef_mean,coef_std,stability_score,abs_mean
tu_available__TU0-45156[c],0.8633882919646776,0.92344644653904,0.8033301373903197,0.8633882919646776,0.92344644653904,0.8033301373903197,0.863388291964679,0.060058154574360145,0.863388291964679,0.863388291964679
tu_available__TU00334[c],0.8633882919646791,0.9234464465390388,0.8033301373903189,0.8633882919646791,0.9234464465390388,0.8033301373903189,0.863388291964679,0.06005815457435998,0.863388291964679,0.863388291964679
tu_available__TU00351[c],0.863388291964678,0.9234464465390396,0.8033301373903194,0.863388291964678,0.9234464465390396,0.8033301373903194,0.863388291964679,0.06005815457436009,0.863388291964679,0.863388291964679
tu_available__TU00348[c],0.8633882919646776,0.9234464465390393,0.8033301373903199,0.8633882919646776,0.9234464465390393,0.8033301373903199,0.863388291964679,0.0600581545743597,0.863388291964679,0.863388291964679
tu_available__TU0-8493[c],0.8633882919646793,0.9234464465390384,0.803330137390319,0.8633882919646793,0.9234464465390384,0.803330137390319,0.8633882919646788,0.0600581545743597,0.8633882919646788,0.8633882919646788
tu_available__TU0-13642[c],0.8633882919646787,0.9234464465390386,0.8033301373903191,0.8633882919646787,0.9234464465390386,0.8033301373903191,0.8633882919646788,0.06005815457435976,0.8633882919646788,0.8633882919646788
tu_available__TU00346[c],0.8633882919646794,0.9234464465390384,0.8033301373903189,0.8633882919646794,0.9234464465390384,0.8033301373903189,0.8633882919646788,0.06005815457435976,0.8633882919646788,0.8633882919646788
tu_available__TU0-42628[c],0.8633882919646795,0.9234464465390386,0.8033301373903184,0.8633882919646795,0.9234464465390386,0.8033301373903184,0.8633882919646788,0.06005815457436009,0.8633882919646788,0.8633882919646788
tu_available__TU0-14658[c],0.8633882919646771,0.9234464465390397,0.8033301373903194,0.8633882919646771,0.9234464465390397,0.8033301373903194,0.8633882919646787,0.060058154574360145,0.8633882919646787,0.8633882919646787
tu_available__TU0-13093[c],0.8633882919646761,0.92344644653904,0.8033301373903198,0.8633882919646761,0.92344644653904,0.8033301373903198,0.8633882919646787,0.06005815457436009,0.8633882919646787,0.8633882919646787
tu_available__TU00004[c],0.8633882919646789,0.9234464465390381,0.8033301373903186,0.8633882919646789,0.9234464465390381,0.8033301373903186,0.8633882919646786,0.06005815457435976,0.8633882919646786,0.8633882919646786
