tu,ridge_full,ridge_A_train,ridge_B_train,enet_full,enet_A_train,enet_B_train,abs_ridge_full,abs_ridge_A_train,abs_ridge_B_train,abs_enet_full,abs_enet_A_train,abs_enet_B_train,ridge_mean,ridge_std,enet_mean,enet_std,ridge_score,enet_score
tu_available__TU00178[c],0.6933730509951728,0.6424292226756575,0.6536663812733515,0.7700643702026835,0.0,0.0,0.6933730509951728,0.6424292226756575,0.6536663812733515,0.7700643702026835,0.0,0.0,0.6631562183147272,0.026764924178221797,0.2566881234008945,0.444596871429859,0.6631562183147272,0.2566881234008945
tu_available__TU00256[c],0.6933730509951733,0.642429222675657,0.653666381273351,0.7700649949405645,0.0,0.0,0.6933730509951733,0.642429222675657,0.653666381273351,0.7700649949405645,0.0,0.0,0.6631562183147272,0.02676492417822238,0.25668833164685484,0.4445972321224427,0.6631562183147272,0.25668833164685484
tu_available__TU00484[c],0.693373050995174,0.6424292226756563,0.65366638127335,0.7700659511173638,0.0,0.0,0.693373050995174,0.6424292226756563,0.65366638127335,0.7700659511173638,0.0,0.0,0.6631562183147267,0.026764924178223237,0.2566886503724546,0.4445977841713752,0.6631562183147267,0.2566886503724546
tu_available__TU00112[c],0.2797717502788935,0.24283000155002563,0.2381486303555552,0.358151559218789,0.0,0.0,0.2797717502788935,0.24283000155002563,0.2381486303555552,0.358151559218789,0.0,0.0,0.2535834607281581,0.022800190597009752,0.11938385307292966,0.20677889912565203,0.2535834607281581,0.11938385307292966
tu_available__TU00067[c],0.6933852528648898,0.0,0.0,0.7765621961746296,0.0,0.0,0.6933852528648898,0.0,0.0,0.7765621961746296,0.0,0.0,0.23112841762162994,0.40032616239366087,0.2588540653915432,0.44834839300390944,0.23112841762162994,0.2588540653915432
tu_available__TU0-1[c],0.6933852528648888,0.0,0.0,0.7765545808341894,0.0,0.0,0.6933852528648888,0.0,0.0,0.7765545808341894,0.0,0.0,0.2311284176216296,0.4003261623936603,0.2588515269447298,0.4483439962850562,0.2311284176216296,0.2588515269447298
tu_available__TU0-6512[c],0.6933852528648885,0.0,0.0,0.7765585434519385,0.0,0.0,0.6933852528648885,0.0,0.0,0.7765585434519385,0.0,0.0,0.2311284176216295,0.4003261623936601,0.2588528478173128,0.44834628410348043,0.2311284176216295,0.2588528478173128
tu_available__TU00205[c],0.693385252864888,0.0,0.0,0.7765635522931102,0.0,0.0,0.693385252864888,0.0,0.0,0.7765635522931102,0.0,0.0,0.2311284176216293,0.4003261623936598,0.25885451743103677,0.44834917595927926,0.2311284176216293,0.25885451743103677
tu_available__TU0-13651[c],-0.20379676574819777,-0.22799514462968232,-0.24397691626304782,-0.07937964865159984,-0.0,-0.0,0.20379676574819777,0.22799514462968232,0.24397691626304782,0.07937964865159984,0.0,0.0,-0.225256275546976,0.020229611383765004,-0.026459882883866612,0.045829861517179084,0.225256275546976,0.026459882883866612
tu_available__TU0-45222[c],-0.18828136067974138,-0.24570728675286171,-0.19518035903565004,-0.06392012628638336,-0.0,-0.0,0.18828136067974138,0.24570728675286171,0.19518035903565004,0.06392012628638336,0.0,0.0,-0.2097230021560844,0.031353637716142406,-0.021306708762127785,0.036904302118078304,0.2097230021560844,0.021306708762127785
tu_available__TU0-3901[c],-0.17972028561413894,-0.20050677858958535,-0.2240813777224258,-0.05539524460657252,-0.0,-0.0,0.17972028561413894,0.20050677858958535,0.2240813777224258,0.05539524460657252,0.0,0.0,-0.20143614730871673,0.022195144016699975,-0.01846508153552417,0.03198245938542981,0.20143614730871673,0.01846508153552417
tu_available__TU0-13210[c],-0.1787905512986969,-0.18045446255701017,-0.2425983313198508,-0.05447727047435696,-0.0,-0.0,0.1787905512986969,0.18045446255701017,0.2425983313198508,0.05447727047435696,0.0,0.0,-0.2006144483918526,0.03636862616944416,-0.018159090158118986,0.03145246677308604,0.2006144483918526,0.018159090158118986
tu_available__TU0-5402[c],-0.17864469308298384,-0.1806780756543381,-0.24208161259930183,-0.054322214772756824,-0.0,-0.0,0.17864469308298384,0.1806780756543381,0.24208161259930183,0.054322214772756824,0.0,0.0,-0.20046812711220793,0.03605267385311114,-0.018107404924252276,0.03136294532202782,0.20046812711220793,0.018107404924252276
