Constituent gene names,Mean protein copy numbers,"p (mRNA, without operons)","p (mRNA, with operons)","p (protein, without operons)","p (protein, with operons)"
"glmM, folP",607.8,0.367,1.000,1.000,1.000
"lnt, ybeX, ybeY, ybeZ",597.1,0.296,0.931,1.000,0.995
"ftsH, rlmE",595.6,0.910,0.960,1.000,0.992
"yabP, yabQ",589.3,0.265,1.000,1.000,1.000
"mreD, mreC, mreB",575.1,0.256,0.516,1.000,0.995
"yfjF, ratA",561.0,0.486,1.000,1.000,1.000
"rraA, menA",555.0,0.291,0.250,0.999,0.977
"yfcL, epmC, yfcA, mepA, aroC, prmB",553.3,0.083,1.000,1.000,0.995
"cusC, cusF, cusB, cusA",552.7,0.060,1.000,0.967,0.995
"thyA, lgt",552.6,0.429,0.629,1.000,1.000
"rpoS, nlpD",526.6,0.960,0.992,1.000,0.986
"galM, galK, galT, galE",524.3,0.088,0.274,1.000,0.994
"apaH, apaG, rsmA, pdxA, surA, lptD",515.8,0.119,0.480,1.000,0.990
"gcvP, gcvH, gcvT",515.8,0.145,0.958,1.000,1.000
"ecnA, ecnB",515.3,0.813,0.812,1.000,1.000
"der, bamB",506.2,0.551,1.000,1.000,1.000
"mutY, yggX, mltC, nupG",503.1,0.013,0.123,0.983,0.909
"ubiX, purF, cvpA",492.1,0.223,0.273,0.999,1.000
"ribF, ileS, lspA, fkpB, ispH",491.3,0.245,0.892,1.000,0.997
"thiD, thiM",488.3,0.486,1.000,1.000,1.000
"rfaD, waaF, waaC, waaL",487.1,0.103,0.503,1.000,0.992
"yrbG, kdsD, kdsC, lptC, lptA, lptB, rpoN, hpf, ptsN, rapZ, npr",486.5,0.029,0.286,0.990,1.000
"lepB, lepA",485.5,0.628,1.000,1.000,0.995
"cpxA, cpxR",483.2,0.418,1.000,1.000,1.000
"nrdA, nrdB, yfaE",481.7,0.404,0.788,1.000,1.000
"acrB, acrA",479.3,0.602,1.000,1.000,1.000
"ubiI, ubiH, pepP, ygfB",470.2,0.185,1.000,1.000,0.996
"ygfX, sdhE",469.9,0.422,1.000,1.000,1.000
"rsmE, gshB",467.3,0.327,1.000,1.000,1.000
"acpS, pdxJ, recO, era, rnc",464.4,0.121,0.359,0.992,0.970
"rfbX, rfbC, rfbA, rfbD, rfbB",458.0,0.136,1.000,1.000,1.000
"ansA, pncA",456.6,0.435,1.000,1.000,1.000
"yqgE, yqgF",448.1,0.514,1.000,1.000,1.000
"yoeB, yefM",442.0,0.435,1.000,1.000,1.000
"yiiS, uspD",440.9,0.317,1.000,1.000,1.000
"tcyN, tcyL, dcyD",433.4,0.219,1.000,1.000,1.000
"ygiM, cca",432.5,0.354,0.658,1.000,1.000
"yfeX, yfeY",430.6,0.365,1.000,1.000,1.000
"yacG, zapD, coaE",430.1,0.170,0.739,1.000,0.995
"phoQ, phoP",425.9,0.414,1.000,0.999,0.988
"bioB, bioF, bioC, bioD",424.2,0.077,1.000,1.000,1.000
"fabR, yijD",419.6,0.559,1.000,1.000,0.998
"umpH, nagC, nagA, nagB",417.2,0.112,0.562,1.000,1.000
"ycjX, ycjF, tyrR",415.8,0.022,0.362,0.983,1.000
"yafQ, dinJ",411.7,0.452,1.000,1.000,1.000
"tehA, tehB",402.7,0.125,1.000,0.993,1.000
"mlaB, mlaC, mlaD, mlaE, mlaF",397.6,0.098,1.000,1.000,1.000
"talA, tktB",392.7,0.461,0.966,1.000,0.995
"uhpC, uhpB, uhpA, ilvN, ilvB, ivbL",389.6,0.001,0.276,0.637,0.925
"prlF, yhaV",384.1,0.421,1.000,1.000,1.000
"yffB, dapE, ypfN",383.7,0.132,1.000,1.000,0.990
"wbbH, glf",383.6,0.262,1.000,0.998,1.000
"fumC, fumA",383.1,0.166,0.421,0.998,0.968
"envZ, ompR",377.8,0.281,1.000,0.998,0.996
"ybbO, tesA",369.3,0.407,1.000,1.000,1.000
"rsmG, mnmG, mioC, asnC",365.2,0.023,0.033,0.644,0.676
"fhuA, fhuC, fhuD, fhuB",357.8,0.051,0.358,0.992,1.000
"pepQ, yigZ, trkH, hemG",356.4,0.043,0.437,0.998,0.985
"ybjQ, amiD",353.6,0.286,1.000,1.000,0.990
"ymdA, ymdB, clsC",349.3,0.077,0.186,1.000,0.995
"secM, secA, mutT",343.1,0.100,0.143,0.994,0.992
"tamA, tamB, ytfP",343.1,0.095,0.273,1.000,0.989
"yciU, clsA",340.4,0.332,1.000,1.000,0.995
"pabC, mltG, tmk, holB, ycfH",339.6,0.017,1.000,1.000,1.000
"ybgI, pxpB, pxpC, pxpA, nei",339.2,0.056,1.000,1.000,1.000
"artM, artQ, artI, artP",338.6,0.121,1.000,1.000,0.995
"cobC, nadD, holA, lptE, leuS",338.4,0.046,0.457,0.951,0.986
"yceI, yceJ",335.2,0.140,0.182,0.999,0.986
"cydX, ybgE",330.9,0.351,1.000,1.000,1.000
"rsmJ, prlC",320.5,0.174,1.000,1.000,0.997
"mscM, psd",316.2,0.138,1.000,0.919,0.990
"lapA, lapB, pyrF, yciH",309.4,0.121,0.806,1.000,0.987
"dinG, ybiB",304.1,0.115,0.214,0.990,0.893
"yhbS, ubiT",303.0,0.359,1.000,1.000,1.000
"yedE, yedF",301.6,0.243,1.000,1.000,1.000
"modF, modE",301.2,0.325,1.000,1.000,1.000
"hokD, relE, relB",296.4,0.186,0.507,1.000,0.979
"cbpM, cbpA",295.9,0.213,1.000,1.000,1.000
"dcd, udk",294.8,0.395,0.855,1.000,0.995
"pyrE, rph",292.0,0.200,0.390,1.000,0.986
"yjbQ, yjbR",290.4,0.439,1.000,1.000,1.000
"rstA, rstB",290.4,0.288,1.000,1.000,0.990
"yfiH, rluD",289.6,0.249,1.000,1.000,0.994
"actP, yjcH, acs",288.8,0.040,1.000,0.684,0.990
"yajL, panE",286.2,0.249,1.000,1.000,1.000
"yqhD, dkgA",285.7,0.229,0.693,0.999,0.993
"yfdG, yfdH, yfdI",285.2,0.123,1.000,0.998,0.990
"nuoN, nuoM, nuoL, nuoK, nuoJ, nuoI, nuoH, nuoG, nuoF, nuoE, nuoC, nuoB, nuoA",284.8,0.005,1.000,1.000,1.000
"ydcZ, mnaT",275.1,0.259,1.000,1.000,0.999
"mraZ, rsmH, ftsL, ftsI, murE, murF, mraY, murD, ftsW, murG, murC, ddlB, ftsQ, ftsA, ftsZ, lpxC",272.0,0.002,0.548,0.528,0.208
"yrfG, hslR, hslO",271.3,0.127,0.258,1.000,0.997
"rlpA, mrdB, mrdA, rlmH, rsfS",264.2,0.045,1.000,1.000,0.985
"pspA, pspB, pspC, pspD, pspE",263.6,0.000,0.509,0.869,0.981
"recF, dnaN, dnaA",259.9,0.366,1.000,1.000,1.000
"folK, pcnB",258.5,0.464,1.000,1.000,1.000
"feoA, feoB, feoC",257.4,0.075,1.000,0.998,0.980
"dcuA, aspA",255.2,0.252,0.326,1.000,0.994
"dedA, truA, usg, pdxB",251.8,0.033,0.980,1.000,0.990
"rnt, lhr",248.4,0.115,1.000,0.728,0.953
"fepC, fepG, fepD",245.4,0.088,1.000,1.000,1.000
"yggS, yggT, yggU, rdgB, hemW",242.7,0.039,1.000,1.000,0.990
"ubiE, ubiJ, ubiB",242.5,0.090,1.000,1.000,0.995
"yjdC, dsbD",240.3,0.271,0.416,1.000,1.000
"parE, yqiA, cpdA, yqiB, nudF",238.6,0.098,1.000,1.000,1.000
"nudC, hemE, nfi",238.6,0.119,1.000,1.000,1.000
"flhE, flhA, flhB",237.9,0.099,1.000,1.000,1.000
"btuB, murI",237.4,0.281,1.000,1.000,0.990
"btuR, yciK",236.7,0.249,1.000,1.000,0.990
"insA4, insAB4, insB4",236.6,0.027,1.000,0.997,1.000
"yqcA, truC, yqcC",234.6,0.060,1.000,0.999,1.000
"potF, potG, potH, potI",230.5,0.004,1.000,0.979,0.999
"yieE, yieF",228.5,0.157,1.000,0.995,1.000
"rcnA, rcnB",225.9,0.085,0.120,0.966,0.952
"yjjQ, bglJ",225.8,0.009,1.000,0.323,1.000
"frmB, frmA, frmR",224.7,0.045,1.000,0.999,0.976
"glpG, glpE",224.7,0.342,0.951,1.000,0.990
"rnm, yciO, yciQ",222.4,0.020,1.000,0.382,0.957
"yciB, yciC",221.8,0.263,1.000,1.000,0.995
"ybjC, nfsA, rimK, ybjN",220.1,0.035,0.474,0.948,0.901
"rsmD, yhhL",215.2,0.215,1.000,0.999,1.000
"ydiN, ydiB, aroD",212.1,0.000,0.014,0.041,0.148
"ymiA, yciX",211.4,0.103,1.000,0.972,1.000
"cutC, yecM",210.0,0.227,1.000,1.000,0.995
"otsA, otsB",209.5,0.303,0.789,1.000,0.984
"hemY, hemX, hemD, hemC",208.0,0.132,1.000,1.000,0.985
"nagK, cobB",205.6,0.319,1.000,1.000,1.000
"dedD, folC",204.1,0.323,1.000,1.000,1.000
"puuD, puuR, puuC, puuB, puuE",203.5,0.003,1.000,0.946,0.988
"ptsP, rppH",202.0,0.622,1.000,1.000,0.995
"yihX, yihY, dtd, fabY",201.5,0.028,1.000,0.986,1.000
"glgP, glgA, glgC, glgX, glgB",200.8,0.288,0.906,1.000,0.985
"yaeQ, arfB, nlpE",200.4,0.116,1.000,1.000,0.990
"rnlA, rnlB",199.8,0.456,0.807,1.000,1.000
"metB, metL",198.8,0.410,1.000,1.000,1.000
"glpQ, glpT",197.5,0.374,0.744,1.000,0.995
"rlmL, uup",197.0,0.265,1.000,1.000,0.995
"yeaY, tsaB",195.0,0.234,1.000,1.000,1.000
"ruvB, ruvA",190.8,0.250,1.000,0.995,0.931
"yfeC, yfeD",190.8,0.215,1.000,1.000,1.000
"wbbK, wbbJ, wbbI",190.2,0.148,1.000,1.000,0.993
"yadG, yadH",190.0,0.204,1.000,1.000,1.000
