Gene,RNA ID,Monomer ID,Process,Essentiality
dtpD,G6378_RNA,B0709-MONOMER,Metabolism,0
dut,EG10251_RNA,DUTP-PYROP-MONOMER,Metabolism,0
dxr,EG12715_RNA,DXPREDISOM-MONOMER,Metabolism,0
dxs,G6237_RNA,DXS-MONOMER,Metabolism,0
eamA,EG11639_RNA,EG11639-MONOMER,Metabolism,0
eamB,EG12445_RNA,EG12445-MONOMER,Metabolism,0
eda,EG10256_RNA,KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER,Metabolism,0
edd,EG10257_RNA,PGLUCONDEHYDRAT-MONOMER,Metabolism,0
efeB,EG11735_RNA,EG11735-MONOMER,Metabolism,0
emrE,EG10629_RNA,EMRE-MONOMER,Metabolism,0
emtA,G6622_RNA,G6622-MONOMER,Metabolism,0
eno,EG10258_RNA,ENOLASE-MONOMER,Metabolism,0
entA,EG10259_RNA,ENTA-MONOMER,Metabolism,0
entC,EG10261_RNA,ENTC-MONOMER,Metabolism,0
entD,EG10262_RNA,ENTD-MONOMER,Metabolism,0
entE,EG10263_RNA,ENTE-MONOMER,Metabolism,0
epd,EG10368_RNA,ERYTH4PDEHYDROG-MONOMER,Metabolism,0
epmB,G7836_RNA,G7836-MONOMER,Metabolism,0
eptB,EG12267_RNA,EG12267-MONOMER,Metabolism,0
etk,EG11826_RNA,EG11826-MONOMER,Metabolism,0
etp,G6503_RNA,G6503-MONOMER,Metabolism,0
eutB,EG50006_RNA,EUTB-MONOMER,Metabolism,0
eutC,EG50007_RNA,EUTC-MONOMER,Metabolism,0
eutD,G7288_RNA,G7288-MONOMER,Metabolism,0
exuT,EG12738_RNA,EXUT-MONOMER,Metabolism,0
fabA,EG10273_RNA,FABA-MONOMER,Metabolism,0
fabB,EG10274_RNA,FABB-MONOMER,Metabolism,0
fabD,EG11317_RNA,MALONYL-COA-ACP-TRANSACYL-MONOMER,Metabolism,0
fabF,EG12606_RNA,3-OXOACYL-ACP-SYNTHII-MONOMER,Metabolism,0
fabG,EG11318_RNA,3-OXOACYL-ACP-REDUCT-MONOMER,Metabolism,1
fabH,EG10277_RNA,FABH-MONOMER,Metabolism,0
fabI,EG11528_RNA,ENOYL-ACP-REDUCT-NADH-MONOMER,Metabolism,0
fabZ,EG11284_RNA,FABZ-MONOMER,Metabolism,0
fadA,EG10278_RNA,FADA-MONOMER,Metabolism,0
fadB,EG10279_RNA,FADB-MONOMER,Metabolism,0
fadD,EG11530_RNA,ACYLCOASYN-MONOMER,Metabolism,0
fadE,G6105_RNA,ACYLCOADEHYDROG-MONOMER,Metabolism,0
fadI,G7213_RNA,G7213-MONOMER,Metabolism,0
fadJ,G7212_RNA,G7212-MONOMER,Metabolism,0
fadK,EG12357_RNA,EG12357-MONOMER,Metabolism,0
fadL,EG10280_RNA,EG10280-MONOMER,Metabolism,0
fadM,G6244_RNA,G6244-MONOMER,Metabolism,0
fau,EG11158_RNA,EG11158-MONOMER,Metabolism,0
fbaA,EG10282_RNA,FRUCTBISALD-CLASSII-MONOMER,Metabolism,0
fbaB,G7129_RNA,FRUCBISALD-CLASSI-MONOMER,Metabolism,0
fbp,EG10283_RNA,F16B-MONOMER,Metabolism,0
fdhF,EG10285_RNA,FORMATEDEHYDROGH-MONOMER,Metabolism,0
fdnG,EG11227_RNA,FDNG-MONOMER,Metabolism,0
fdnH,EG11228_RNA,FDNH-MONOMER,Metabolism,0
fdnI,EG11229_RNA,FDNI-MONOMER,Metabolism,0
fdoG,EG11858_RNA,FDOG-MONOMER,Metabolism,0
fdoH,EG11857_RNA,FDOH-MONOMER,Metabolism,0
fdoI,EG11856_RNA,FDOI-MONOMER,Metabolism,0
feaB,G7961_RNA,PHENDEHYD-MONOMER,Metabolism,0
feoB,EG12102_RNA,FEOB-MONOMER,Metabolism,0
fes,EG10299_RNA,EG10299-MONOMER,Metabolism,0
fieF,EG11873_RNA,YIIP-MONOMER,Metabolism,0
fis,EG10317_RNA,PD00196,Transcription Regulation,0
fklB,G7865_RNA,G7865-MONOMER,Metabolism,0
fkpA,G7716_RNA,G7716-MONOMER,Metabolism,0
fkpB,EG11080_RNA,EG11080-MONOMER,Metabolism,0
fliY,G7039_RNA,G7039-MONOMER,Metabolism,0
fmt,EG11268_RNA,EG11268-MONOMER,Metabolism,0
fnr,EG10325_RNA,PD00197,Transcription Regulation,0
focA,EG11258_RNA,FOCA-MONOMER,Metabolism,0
folA,EG10326_RNA,DIHYDROFOLATEREDUCT-MONOMER,Metabolism,0
folB,EG11673_RNA,H2NEOPTERINALDOL-MONOMER,Metabolism,0
folC,EG10327_RNA,FOLC-MONOMER,Metabolism,0
folD,EG10328_RNA,FOLD-MONOMER,Metabolism,0
folE,EG11375_RNA,GTP-CYCLOHYDRO-I-MONOMER,Metabolism,0
folK,EG11374_RNA,H2PTERIDINEPYROPHOSPHOKIN-MONOMER,Metabolism,0
folM,G6862_RNA,G6862-MONOMER,Metabolism,0
folP,EG50011_RNA,H2PTEROATESYNTH-MONOMER,Metabolism,0
folX,G7195_RNA,H2NTPEPIM-MONOMER,Metabolism,0
fpr,EG10628_RNA,FLAVONADPREDUCT-MONOMER,Metabolism,0
frc,G7237_RNA,G7237-MONOMER,Metabolism,0
frdA,EG10330_RNA,FUM-FLAVO,Metabolism,0
frdB,EG10331_RNA,FUM-FE-S,Metabolism,0
frdC,EG10332_RNA,FUM-MEMB1,Metabolism,0
