operon_ids,num_operons,num_tus,tu_ids
2408,1,3,TU00337[c];rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO[c];rpmJ[c]
303,1,1,TU0-13077[c]
2480,1,1,TU164[c]
2409,1,2,TU00340[c];rpmH[c]
357,1,1,TU0-13135[c]
2386,1,1,TU00270[c]
2561,1,1,EG10901_RNA[c]
1489,1,1,TU0-1547[c]
944,1,1,TU0-13837[c]
1409,1,2,TU0-14518[c];TU0-7981[c]
1624,1,2,TU0-4201[c];TU0-4202[c]
678,1,1,TU0-13519[c]
1412,1,2,TU0-14521[c];TU0-4701[c]
988,1,1,TU0-13885[c]
2521,1,1,TU841[c]
1448,1,1,TU0-14658[c]
1590,1,1,TU0-3426[c]
2305,1,1,TU00117[c]
1386,1,3,TU0-14460[c];TU00352[c];TU00472[c]
2342,1,1,TU00185[c]
2341,1,1,TU00184[c]
2228,1,1,TU0-8828[c]
1420,1,3,TU0-14538[c];TU0-5843[c];TU00298[c]
1642,1,2,TU0-42486[c];TU00178[c]
1675,1,2,TU0-42628[c];TU00338[c]
1770,1,1,TU0-5501[c]
1943,1,1,TU0-8493[c]
1385,1,1,TU0-14459[c]
1475,1,1,TU0-14792[c]
899,1,1,TU0-13783[c]
1411,1,3,TU0-14520[c];TU00444[c];cvpA-purF[c]
1746,1,2,TU0-4682[c];TU0-4924[c]
1028,1,3,TU0-13929[c];TU0-13930[c];TU0-14479[c]
1220,1,1,TU0-14159[c]
619,1,1,TU0-13444[c]
2381,1,1,TU00258[c]
1630,1,1,TU0-42451[c]
1493,1,3,TU0-1601[c];TU0-198885[c];TU0-42543[c]
1395,1,3,TU0-14496[c];TU0-14629[c];TU0-8864[c]
694,1,2,TU0-13539[c];folE[c]
2475,1,1,TU101[c]
1302,1,5,TU0-14294[c];TU0-1921[c];TU0-198883[c];TU0-198884[c];TU0-4001[c]
1103,1,1,TU0-14018[c]
2207,1,1,TU0-8806[c]
107,1,1,TU0-12838[c]
2322,1,1,TU00146[c]
1740,1,2,TU0-4562[c];TU00159[c]
395,1,3,TU0-13182[c];TU0-13183[c];TU0-55017[c]
2282,1,1,TU00061[c]
2373,1,1,TU00238[c]
2276,1,1,TU00055[c]
2185,1,1,TU0-8772[c]
1828,1,2,TU0-6649[c];TU0-8001[c]
398,1,1,TU0-13189[c]
1942,1,1,TU0-8492[c]
1325,1,3,TU0-14322[c];TU0-14474[c];TU0-6405[c]
2294,1,1,TU00094[c]
413,1,2,TU0-13210[c];TU0-13211[c]
1653,1,4,TU0-42516[c];TU0-6651[c];TU524[c];TU526[c]
718,1,3,TU0-13565[c];TU0-13566[c];TU0-14691[c]
1364,1,1,TU0-14399[c]
1290,1,3,TU0-14253[c];TU0-14394[c];TU00291[c]
324,1,1,TU0-13100[c]
1074,1,1,TU0-13987[c]
1601,1,1,TU0-36414[c]
1382,1,1,TU0-14454[c]
2259,1,1,TU00009[c]
1606,1,1,TU0-3645[c]
2361,1,1,TU00214[c]
784,1,2,TU0-13642[c];TU0-14404[c]
2378,1,1,TU00254[c]
2363,1,1,TU00218[c]
37,1,10,TU0-1[c];TU0-42537[c];TU0-42538[c];TU0-5[c];TU00266[c];TU441[c];TU442[c];TU443[c];TU601[c];rpmF[c]
1222,1,1,TU0-14161[c]
2288,1,1,TU00082[c]
1506,1,1,TU0-1881[c]
1368,1,2,TU0-14412[c];TU0-14654[c]
954,1,1,TU0-13848[c]
2256,1,1,TU00003[c]
1694,1,2,TU0-44205[c];TU5[c]
1881,1,1,TU0-8121[c]
1444,1,1,TU0-14642[c]
1556,1,2,TU0-2302[c];metQ[c]
74,1,1,TU0-12797[c]
660,1,2,TU0-13499[c];TU0-198886[c]
860,1,1,TU0-13736[c]
1317,1,1,TU0-14313[c]
1918,1,1,TU0-8343[c]
