project,variant,label,mean_growth_rate,median_growth_rate,std_growth_rate,max_growth_rate,initial_dry_mass,final_dry_mass,max_dry_mass,fold_change_mass,duration_sec,n_timepoints,generations_used
gene_knockout_non_metabolic1,4,KO: EG10014,0.00021471358019501568,0.00021624463413735435,3.1493369417091343e-05,0.00048622874943738775,379.99864053232704,567.3107186161221,710.9718698090189,1.4929282847470087,24311.0,1219,8
gene_knockout_non_metabolic1,5,KO: EG10015,0.0002153998255262317,0.00021702476397722956,3.9244600537026946e-05,0.00032134388287399486,379.99864053232704,674.170133572434,784.655053256296,1.7741382775159726,24849.0,1246,8
gene_knockout_non_metabolic1,6,KO: EG10016,0.00023787037429815383,0.00023669407152436937,4.0833675606734484e-05,0.0006023619481349164,379.87808527090215,683.3435695436287,764.9251138539,1.7988496731953265,22662.0,1137,8
gene_knockout_non_metabolic1,7,KO: EG10017,0.00024078293245735069,0.00024399762821167355,3.211960422931222e-05,0.00030472145707955025,379.89883438247546,709.4196740851814,755.7778812375684,1.8673910259249447,22489.0,1129,8
gene_knockout_non_metabolic1,8,KO: EG10018,0.00024400444255483843,0.00024279402268793146,3.2597569257137224e-05,0.00031379965653714444,379.91031606696026,685.5037138480407,774.7962962480578,1.804382994767688,22252.0,1117,8
gene_knockout_non_metabolic1,9,KO: EG10026,0.00023158260087046542,0.0002315306097025001,3.657788783382819e-05,0.0006008478744393499,379.9318941028944,708.2329473327607,734.1571076135292,1.8641050102020515,23416.0,1176,8
gene_knockout_non_metabolic1,10,KO: EG10031,0.00022233584689389281,0.00021538200941487466,4.210188411224611e-05,0.0006108867347197319,380.0181065348155,573.4678871524084,774.0940255052817,1.5090541142409222,23502.0,1179,8
gene_knockout_non_metabolic1,11,KO: EG10033,0.00022637531294631677,0.00022633000993268,3.4826171210244795e-05,0.0003367814762139898,380.01133552971544,725.0907580231806,725.0907580231806,1.908076655167254,24105.0,1210,8
gene_knockout_non_metabolic1,12,KO: EG10034,9.58670727497859e-05,6.989957611953725e-05,6.880125456453557e-05,0.00035159112882810823,380.0046490148935,287.0625545332223,730.0430474931791,0.7554185331084501,39625.0,1986,8
gene_knockout_non_metabolic1,13,KO: EG10035,0.00023453309310514077,0.0002305448937307457,3.370225265415073e-05,0.0003204916418658457,380.0166900893604,680.879694814405,753.7193236511896,1.7917099763547149,23030.0,1154,8
gene_knockout_non_metabolic1,14,KO: EG10039,0.00022535163712391397,0.00022222352272605148,3.100725861605542e-05,0.00031240925418217784,380.0046490148935,686.0517996073695,734.19070381766,1.8053773852132033,24036.0,1206,8
gene_knockout_non_metabolic1,15,KO: EG10040,0.00023325327512365451,0.00023135807668107217,3.929552769661975e-05,0.0007569079278869447,379.9494675434561,651.4403977469947,767.3803302078843,1.7145448366037972,22855.0,1147,8
gene_knockout_non_metabolic1,16,KO: EG10044,0.00024386444252492908,0.00024473021288889393,3.157990571920617e-05,0.00033351687429622934,380.0179595416223,685.2323549767764,792.3590676817494,1.803157818654949,22223.0,1115,8
gene_knockout_non_metabolic1,17,KO: EG10046,0.00022233232435353917,0.00022095619877016576,3.196965928065226e-05,0.0007201119382096668,379.9488713897355,587.5432518155685,722.6829577247634,1.5463745152512678,23614.0,1184,8
gene_knockout_non_metabolic1,18,KO: EG10050,0.00024142524012637554,0.00024020542612716657,2.8306409609166558e-05,0.00031959933028501033,380.0094913000032,653.0334900446649,746.2016071322798,1.7184662620153333,22244.0,1116,8
gene_knockout_non_metabolic1,19,KO: EG10051,0.00021635667041429113,0.00022167557710427524,3.299859929214362e-05,0.00043118496307298907,380.0012663366084,684.431333351039,735.0232597386384,1.8011290855666882,24886.0,1248,8
gene_knockout_non_metabolic1,20,KO: EG10054,0.00024199356974306745,0.0002388261839348483,3.006420956738407e-05,0.000317119294301058,379.93843965206077,664.0770586678614,786.9965249260515,1.7478543610275614,22131.0,1111,8
